address,latitude,longitude
서울특별시 강북구 한천로143길 5,37.640894339,127.024992803
서울특별시 강북구 인수봉로81길 22 유경쉐르빌,37.645715604,127.009284836
서울특별시 강북구 도봉로 47-1,37.613260780,127.029930923
서울특별시 강북구 오패산로30길 21,37.614192016,127.034765026
서울특별시 강북구 번동 308-4,37.62860617850748,127.03983622602695
서울특별시 강북구 삼양로 372-1,37.636741650,127.017391307
서울특별시 강북구 도봉로 지하50 미아사거리역,37.609945657,127.030715169
서울특별시 강북구 미아동 762-64,37.624943392686895,127.02018576111438
서울특별시 강북구 월계로7나길 23,37.612564309,127.032516903
서울특별시 강북구 한천로 1093 서울우유농협 수유동지점,37.643225661,127.021853467
서울특별시 강북구 한천로 1056,37.641284484,127.025486816
서울특별시 강북구 솔샘로 231,37.620297020,127.018388365
서울특별시 강북구 삼양로117길 55,37.644127012,127.013041174
서울특별시 강북구 삼양로 426,37.641679139,127.016939162
서울특별시 강북구 수유동 394-45,37.637885510098926,127.01607428114241
서울특별시 강북구 한천로139나길 17 삼성타워,37.639498718,127.024618176
서울특별시 강북구 한천로155길 43 수유벽산아파트,37.643765145,127.018730564
서울특별시 강북구 한천로105길 7,37.626146215,127.047120621
서울특별시 강북구 삼양로79길 21,37.630827156,127.016488241
서울특별시 강북구 도봉로 316-1,37.636333781,127.024047779
서울특별시 강북구 도봉로76길 42,37.633208460,127.026088196
서울특별시 강북구 도봉로102길 70,37.640237577,127.033119009
서울특별시 강북구 삼양로 293 서영프라자,37.629741701,127.017719584
서울특별시 강북구 노해로11길 41,37.638786129,127.020288117
서울특별시 강북구 노해로 91 진흥빌딩,37.643887329,127.022604877
서울특별시 강북구 미아동 684-8,37.61909591486513,127.02117716142843
서울특별시 강북구 덕릉로 82,37.634411210,127.022849109
서울특별시 강북구 솔샘로50길 4,37.619593015,127.019193165
서울특별시 강북구 삼양로 601,37.656594389,127.013154912
서울특별시 강북구 노해로 38 두온오피스텔,37.638890975,127.023118585
서울특별시 강북구 한천로140길 30,37.641033822,127.027952586
서울특별시 강북구 도봉로 131-1,37.620603992,127.028284676
서울특별시 강북구 월계로3길 15,37.610435817,127.031169972
서울특별시 강북구 한천로170길 97,37.648232152,127.021189645
서울특별시 강북구 솔샘로64길 24,37.616186680,127.027811706
서울특별시 강북구 월계로7가길 24,37.612521291,127.032535603
서울특별시 강북구 솔샘로 167,37.620064428,127.011147555
서울특별시 강북구 한천로 1093-1,37.643262568,127.022079285
서울특별시 강북구 월계로7나길 15,37.612586514,127.033060309
서울특별시 강북구 솔샘로 159 벽산라이브파크,37.621829933,127.012411237
서울특별시 강북구 도봉로67길 18 수유시장,37.630781261,127.022644994
서울특별시 강북구 솔매로 80-1,37.624876498,127.021181942
서울특별시 강북구 수유동 472-603,37.63080859436861,127.01689403702669
서울특별시 강북구 인수봉로55길 37 동도유엔아이,37.636640241,127.010695387
서울특별시 강북구 월계로7나길 4,37.612971317,127.033711773
서울특별시 강북구 수유동 605-286,37.6408430619148,127.01727660048053
서울특별시 강북구 도봉로 260 운산빌딩,37.631706640,127.024422916
서울특별시 강북구 수유로4길 58,37.632028600,127.021735497
서울특별시 강북구 솔샘로 256-1,37.619429471,127.020951664
"서울특별시 강북구 삼양로 432, 1층 (수유동)",37.641974549,127.016833869
서울특별시 강북구 수유동 613-54,37.645553532043934,127.02033897888987
서울특별시 강북구 도봉로 지하198 미아역,37.626477710,127.026090336
서울특별시 강북구 도봉로 205-1,37.626943941,127.025760638
서울특별시 강북구 미아동 1354-12,37.62109537194874,127.01238020797788
서울특별시 강북구 미아동 52-17,37.61262039998188,127.03302844736109
서울특별시 강북구 삼양로123길 9,37.644656408,127.015202698
서울특별시 강북구 미아동 75-312,37.61466057065657,127.0324578248494
서울특별시 강북구 덕릉로41길 15,37.635673898,127.030807988
서울특별시 강북구 삼양로 285,37.629018649,127.017745940
서울특별시 강북구 도봉로 242 한국전력 강북성북지사,37.630575328,127.024886839
