address,latitude,longitude
서울특별시 동작구 동작대로 43-2,37.480510913,126.981611570
서울특별시 동작구 서달로12길 19,37.506942193,126.962886319
서울특별시 동작구 신대방길 71,37.489073757,126.909796275
서울특별시 동작구 상도로 202,37.504966100,126.941051517
서울특별시 동작구 사당로30길 140,37.478648925,126.980609069
서울특별시 동작구 신대방동 367-101,37.496897616991106,126.92110521627116
서울특별시 동작구 사당동 91-198,37.48923296017186,126.97988334246483
서울특별시 동작구 사당로14길 48 토담집,37.482199978,126.970605721
서울특별시 동작구 동작대로 105-4 안경남 붕어빵 국화빵,37.486042832,126.981909744
서울특별시 동작구 상도로 지하76,37.502009055,126.947982106
서울특별시 동작구 보라매로5길 43,37.491489863,126.923430861
서울특별시 동작구 사당로 2,37.495473900,126.954693609
서울특별시 동작구 사당로 지하218,37.495320425,126.955438392
서울특별시 동작구 상도로37길 76,37.497599419,126.953117549
서울특별시 동작구 대방동길 57,37.503115562,126.925314908
서울특별시 동작구 동작대로 31,37.479344571,126.981366886
서울특별시 동작구 서달로15길 23 한신빌딩,37.508574169,126.961731647
서울특별시 동작구 동작대로 117-7 이수역 이모네 맛집,37.487179232,126.981977444
서울특별시 동작구 상도동 518-7,37.4994452243165,126.95165387916683
서울특별시 동작구 사당동 132-1,37.48772127242046,126.98110071464127
서울특별시 동작구 상도로 333,37.498683271,126.951926139
서울특별시 동작구 동작대로 113-2,37.486678553,126.981931761
서울특별시 동작구 상도로47길 21,37.500321679,126.951871512
서울특별시 동작구 신대방길 11,37.487825525,126.911919273
서울특별시 동작구 사당동 708-514,37.48854434236293,126.97929200156477
서울특별시 관악구 봉천로 277 엘하우스,37.487884519,126.932154881
서울특별시 동작구 사당로16길 39,37.481801559,126.972677661
서울특별시 동작구 장승배기로16길 134 쌍용예가아파트,37.510375391,126.943007946
서울특별시 동작구 남부순환로271가길 17,37.477853944,126.979018055
서울특별시 동작구 상도동 310,37.49849896216712,126.93145272703043
서울특별시 동작구 상도로30길 63-4,37.504643619,126.944495489
서울특별시 동작구 대방동 118-1,37.513061552770516,126.92699439923004
서울특별시 동작구 신대방3길 1,37.487800142,126.911787219
서울특별시 동작구 사당로8길 14,37.484598874,126.969150342
서울특별시 동작구 국사봉길 38,37.497700465,126.929824960
서울특별시 동작구 보라매로 110 영등포농협,37.499050481,126.928455803
서울특별시 동작구 노량진로 4,37.512150342,126.926377857
서울특별시 동작구 성대로 30,37.499273109,126.932990948
서울특별시 동작구 여의대방로36길 107-1,37.508915677,126.931995295
서울특별시 동작구 성대로 23 성대빌딩,37.499624712,126.932960258
서울특별시 동작구 상도로52길 28,37.497289771,126.950644660
서울특별시 동작구 사당로30길 142,37.478558291,126.980546196
서울특별시 동작구 장승배기로 113,37.507819487,126.939595636
서울특별시 동작구 만양로14가길 4,37.511781263,126.945353515
서울특별시 동작구 상도동 26-77,37.50442760435681,126.94142561049094
서울특별시 동작구 상도로 250,37.504591100,126.946238090
서울특별시 동작구 대방동 341-18,37.51249819749043,126.92629599303068
서울특별시 동작구 서달로12길 24,37.506759496,126.962884373
서울특별시 동작구 솔밭로 103,37.485590296,126.968173429
서울특별시 동작구 노량진로8길 26,37.512576159,126.936775310
서울특별시 동작구 장승배기로 171 노량진아이비빌딩,37.512964615,126.939939535
서울특별시 동작구 여의대방로 192,37.503955865,126.922251189
서울특별시 동작구 사당로16길 45,37.481734351,126.972600772
서울특별시 동작구 서달로14라길 12,37.506916700,126.963800113
서울특별시 동작구 보라매로 101 신대방동빌딩,37.498324010,126.927853315
