address,latitude,longitude
서울특별시 용산구 이촌동 301-4,37.51865277358253,126.97764301818258
서울특별시 용산구 이촌로71길 2,37.520532327,126.972548527
서울특별시 용산구 효창원로40길 4,37.536882562,126.959311347
서울특별시 용산구 효창원로 142,37.540474687,126.962002903
서울특별시 용산구 녹사평대로32길 33-1,37.533274896,126.990609979
서울특별시 용산구 후암로28길 10 신후암맨션,37.549799176,126.977808623
서울특별시 용산구 한남동 710-5,37.53598959434848,127.00542459118026
서울특별시 용산구 동자동 46,37.550866860691585,126.9735852024441
서울특별시 용산구 이태원동 118-89,37.534873564943595,126.99197082170204
서울특별시 용산구 이촌로 200-1,37.521131171,126.969493176
서울특별시 용산구 효창원로 114,37.538179279,126.960955364
서울특별시 용산구 한강대로 405,37.554837575,126.971732510
서울특별시 용산구 신흥로 97-2,37.545334660,126.984929953
서울특별시 중구 장충동1가 56-92,37.561543153457265,127.00658182019163
서울특별시 용산구 독서당로 23,37.530598438,127.007170855
서울특별시 용산구 두텁바위로 74,37.545653280,126.980901981
서울특별시 용산구 한강대로104길 62,37.550126228,126.975599774
서울특별시 용산구 청파로 252,37.542053339,126.970977263
서울특별시 용산구 청파로 321 근화당한의원,37.548349409,126.969794733
서울특별시 용산구 용산동3가 1-96,37.53440837986878,126.97545509396517
서울특별시 용산구 이태원동 687,37.538291386407664,126.98726107114202
서울특별시 용산구 이촌로65가길 23,37.521924528,126.972990491
서울특별시 용산구 한강대로23길 55 용산역,37.529839228,126.964860965
서울특별시 용산구 한강대로104길 64,37.550124357,126.975691521
서울특별시 용산구 독서당로 78,37.533956084,127.009277490
서울특별시 용산구 이촌로65가길 66,37.520994693,126.974628893
서울특별시 용산구 새창로45길 78 진성빌딩,37.534290620,126.966425284
서울특별시 용산구 녹사평대로 66,37.524722107,126.993145604
서울특별시 용산구 새창로 209,37.530676406,126.967006780
서울특별시 용산구 독서당로 82,37.534127872,127.009633291
서울특별시 용산구 신계동 52,37.53470323878388,126.96664595291453
서울특별시 용산구 효창동 5-53,37.54101040843739,126.96205932255344
서울특별시 용산구 청파로 166,37.534075925,126.969313562
서울특별시 용산구 후암동 260,37.54647744990164,126.98084115302132
서울특별시 용산구 이태원로 208 제임스클럽,37.534543396,126.997060507
서울특별시 용산구 이태원동 276-7,37.539087927881496,126.9887029083324
서울특별시 용산구 문배동 46,37.53842800780628,126.96961446677479
서울특별시 용산구 두텁바위로1길 26,37.545663535,126.973857657
서울특별시 용산구 청파동3가 132-64,37.54293292459341,126.96283103835361
서울특별시 용산구 원효로41길 63,37.535649874,126.960645288
서울특별시 용산구 효창동 5-79,37.54053817100818,126.96190226179155
서울특별시 용산구 용산동1가 1-5,37.544098870489535,126.97564972948713
서울특별시 용산구 용산동3가 6-40,37.53391874371235,126.97556640314409
