address,latitude,longitude
서울특별시 종로구 자하문로6길 18-12,37.577647063,126.972930221
서울특별시 종로구 종로 389 정우빌딩,37.574753729,127.020515578
서울특별시 종로구 새문안로 29 강북삼성병원,37.568383797,126.966854360
서울특별시 종로구 평창문화로 33,37.604985790,126.965194986
서울특별시 종로구 종로 335-2,37.572949914,127.014923393
서울특별시 종로구 사직로8길 4 광화문 스페이스본,37.574674044,126.969851861
서울특별시 종로구 난계로27길 51,37.572657555,127.020342900
서울특별시 종로구 평창11길 49,37.609741437,126.966065050
서울특별시 종로구 우정국로 40-2,37.572633404,126.983160962
서울특별시 종로구 평창문화로 12 청암빌라,37.603821453,126.963168423
서울특별시 종로구 종로51길 20,37.572874363,127.011837761
서울특별시 종로구 혜화로2길 25,37.587156145,127.000596335
서울특별시 종로구 진흥로 494,37.604405436,126.960983440
서울특별시 종로구 세검정로9길 59 막강보습학원,37.605469421,126.959998965
서울특별시 종로구 홍지문1길 5,37.599894599,126.956438669
서울특별시 종로구 통일로 250-2,37.574691867,126.957863524
서울특별시 종로구 종로 69 서울 YMCA,37.570576193,126.985314986
서울특별시 종로구 종로 262-1,37.570976292,127.006947954
서울특별시 종로구 삼청로 30,37.578613900,126.980570702
서울특별시 종로구 창의문로5길 7,37.592260632,126.964041362
서울특별시 종로구 대명길 45,37.582763437,126.999211801
서울특별시 종로구 율곡로 40-1,37.575735073,126.983963702
서울특별시 종로구 동숭2길 2,37.580678489,127.004405363
서울특별시 종로구 사직로 지하130 3호선 경복궁역,37.575826721,126.973296429
서울특별시 종로구 송월길 99 경희궁자이 2단지,37.569206972,126.964152857
서울특별시 종로구 우정국로 22-2,37.570957641,126.983186831
서울특별시 종로구 북악산로 221,37.601525753,126.975743849
서울특별시 종로구 사직로 161,37.577703743,126.975283210
서울특별시 종로구 창덕궁1길 39 회복빌딩,37.579268818,126.986998022
서울특별시 종로구 종로 지하216 1호선 종로5가역,37.573411520,127.022379505
서울특별시 종로구 대학로 지하120 4호선 혜화역,37.581847841,127.001978164
서울특별시 종로구 새문안로3길 23 경희궁의 아침 4단지,37.572630729,126.972440865
