address,latitude,longitude
"서울 강남구 테헤란로223, 1층 101호 (역삼동 677-25, 큰길타워빌딩)",37.50235508,127.04069826
"서울 강남구 봉은사로지하 102, 9호선 신논현역 지하 상가 (역삼동)",37.50462358,127.02502712
서울 강남구 삼성동1 7호선강남구청역내,37.51720971,127.04134523
"서울 강남구 학동로지하 102, 지하1층, GS25 S논현역점(논현역 상가1004) (논현동 279-67)",37.51120048,127.02166131
"서울 강남구 학동로87길7, (7호선청담역) (청담동 75-1, 현대아파트)",37.51919311,127.05152372
"서울 강남구 학동로지하 180 (논현동 279-67, 지하상가)",37.51429327,127.03176756
"서울 강남구 언주로147길10, 1층 (논현동 63-19)",37.52001905,127.03336784
"서울 강남구 테헤란로77길7(삼성2동 143-28, 동원빌딩)",37.50690916,127.05457469
"서울 강남구 테헤란로2길8, 1층 (역삼동 825-1)",37.4975896,127.0287036
서울 강남구 역삼로15길20 (역삼동 749-5),37.4961496,127.03550765
서울 강남구 언주로98길25 (역삼동 699-27),37.50489517,127.04392313
"서울 강남구 밤고개로21길25, 상가동 지상1층 103호, 104호 (자곡동 361)",37.47459957,127.1093853
"서울 강남구 강남대로98길17, 지하1층 (역삼동 620-9, 시티힐빌딩)",37.50098036,127.02794716
"서울 강남구 테헤란로4길46, 109호(역삼1동 826-37, 쌍용플래티넘)",37.49525324,127.0305772
"서울 강남구 강남대로102길40, 1층 (역삼동 618-3)",37.50341667,127.02836798
"서울 강남구 봉은사로48길32, 지하1층 2호 (역삼동 690-29)",37.5073942,127.04208155
서울 강남구 논현로149길50(논현1동 5-19),37.51735111,127.02449956
"서울 강남구 자곡로180, 111-2호 (자곡동 651, 강남유탑유블레스오피스텔)",37.47366958,127.10317822
"서울 강남구 삼성로434, 1층 (대치동 942-4, 쥬비스타워)",37.50569924,127.05764377
"서울 강남구 테헤란로115, 1층(역삼1동 649-10, 서림빌딩)",37.49906792,127.02987194
"서울 강남구 봉은사로170, 상가 107호 (역삼동 605-17)",37.50667765,127.03265767
서울 강남구 개포로20길12(개포4동 1232),37.47791728,127.04724049
"서울 강남구 개포로244, 1층 (개포동 1212)",37.47881671,127.04927553
"서울 강남구 논현로16길6, 1층 일부 (개포동 1227-11)",37.47604181,127.0470834
서울 강남구 학동로33길46 (논현동 77),37.51773009,127.03223221
서울 강남구 강남대로132길48(논현1동 56),37.51294025,127.02502075
"서울 강남구 학동로30길49, 101호(논현2동 220-18)",37.51107988,127.03327953
"서울 강남구 봉은사로37길13, 1층 (논현동 232-5)",37.5091778,127.03648245
서울 강남구 도산대로50길27(논현2동 99-19),37.5206133,127.03772687
서울 강남구 봉은사로11길26(논현1동 188),37.50750869,127.02851854
서울 강남구 논현동254-22번지 1층,37.51366582,127.04100597
"서울 강남구 강남대로132길10, 101호(논현1동 51, 로뎀빌딩)",37.51217585,127.02193136
"서울 강남구 선릉로605, 1층 (논현동 278-6, HJ빌딩)",37.51087371,127.04337181
"서울 강남구 도산대로8길15, 지하1층 (논현동 13-16)",37.51601841,127.02242419
"서울 강남구 도산대로26길23, 1층 (논현동 33)",37.51764297,127.02820617
"서울 강남구 언주로114길9, 1층 (논현동 275-5)",37.51006684,127.03832604
"서울 강남구 학동로6길48, 1층 (논현1동 159-11)",37.5092369,127.02610953
"서울 강남구 선릉로127길12, 1층 (논현동 242-13, 현진빌딩)",37.51555526,127.04066506
"서울 강남구 봉은사로11길12 (논현동 195-1, 논현e편한세상)",37.50689771,127.02873005
서울 강남구 언주로121길8(논현2동 218-22),37.51169731,127.03495696
서울 강남구 언주로130길18(논현2동 246-3),37.51500307,127.03702971
서울 강남구 논현로115길69(논현1동 170-2),37.50832028,127.02750136
서울 강남구 논현로131길31 (논현동 57-9),37.51380108,127.02779221
서울 강남구 논현로146길11(논현2동 66-35),37.51822452,127.02989548
서울 강남구 강남대로150길11(논현1동 1-5),37.51604086,127.02078366
"서울 강남구 논현로4길12, 1층 (개포동 1168)",37.47257025,127.05125397
"서울 강남구 역삼로52길14, 101호 (역삼동 754-2)",37.49852102,127.04792876
"서울 강남구 선릉로86길48 (대치4동 896-52, 동창빌딩)",37.50408127,127.05362636
"서울 강남구 영동대로85길17, B동 122호 (대치동 950, 우정에쉐르)",37.50688037,127.06226628
"서울 강남구 테헤란로98길8, 1층(대치2동 945-10, KT&G코스모대치타워)",37.50768918,127.06199602
"서울 강남구 도곡로78길22, 상가동 112,113호 (대치동 1014-3)",37.49734827,127.06013496
"서울 강남구 선릉로86길16, 1층(대치4동 897-33)",37.50325827,127.0510015
"서울 강남구 영동대로417, 지하1층 (대치동 948)",37.50651022,127.06331149
"서울 강남구 영동대로57길16, 1층 (대치동 992-4)",37.50000852,127.0660844
"서울 강남구 논현로30길51, 1층 (도곡2동 419-5, 석진빌딩)",37.48516776,127.04574631
"서울 강남구 도곡로184, 1층 101호 (도곡1동 544, 신호빌딩)",37.49167896,127.03976053
