address,latitude,longitude
"서울 관악구 호암로26길9, 1층 (신림동 1514-7, 대관)",37.47087919,126.93426701
서울 관악구 관악로12길17(낙성대동 1598-35),37.47819502,126.95333846
"서울 관악구 남부순환로144길24, 101호 (신림동 1488-35)",37.48021526,126.91264078
"서울 관악구 난곡로26길89, 지하1층 (신림동 646-273)",37.46928531,126.92443181
"서울 관악구 법원단지21길2, 1층 B02호 (난곡동 610-140)",37.47507332,126.92281129
"서울 관악구 남부순환로218길46, 지층 B1호(청룡동 878-1)",37.47936398,126.95002068
"서울 관악구 낙성대역길31, 1층(낙성대동 207-21)",37.47608675,126.96153072
"서울 관악구 대학길84, 1층,지층 (대학동 253-3)",37.46699742,126.93746478
"서울 관악구 인헌길35, 1층 (봉천동 1642-16)",37.47398057,126.96693002
"서울 관악구 난곡로181, 1층 (신림동 704-13, 성수빌딩)",37.47128505,126.91942889
"서울 관악구 신림로391, 1층 (신림동 1429-1)",37.48904014,126.92782366
"서울 관악구 보라매로62, 상가동 (봉천동 1698-1, 보라매삼성아파트)",37.49480487,126.92760555
서울 관악구 낙성대역8길1(인헌동 196-129),37.47445351,126.96331701
서울 관악구 행운2길52(행운동 1685-1),37.4785202,126.96159881
"서울 관악구 남부순환로1811, 101호(중앙동 870-13, 신원메트로빌오피스텔)",37.48172828,126.95143486
서울 관악구 관악로14가길45(낙성대동 1617-1),37.47642135,126.95553394
서울 관악구 중앙길38(봉천동 41-538),37.48446946,126.95267426
"서울 관악구 남부순환로1979, B동 101호 (봉천동 1722, 제창그로힐아파트지하1층)",37.47561689,126.96858076
"서울 관악구 솔밭로24, 1호 (행운동 148-129, 관악미래가아파트)",37.47933169,126.96371318
"서울 관악구 호암로399, 상가 B105호 (신림동 1714, 삼성산주공아파트3단지)",37.46257013,126.92615577
"서울 관악구 관악로1, 기숙사 (신림동 산56-1, 서울대학교)",37.45616723,126.95877704
서울 관악구 참숯1길10 (봉천동 1539-12),37.47896702,126.94188568
"서울 관악구 신사로86, 1층 102호 (신림동 518-18, 현빌딩)",37.48617857,126.91246389
서울 관악구 신림로19길46-8(대학동 1546-5),37.46850016,126.93523908
"서울 관악구 남부순환로1508, 1층(미성동 1570-9)",37.48222268,126.91832162
"서울 관악구 난우길51, 1층 (신림동 585-82)",37.47721578,126.91667528
서울 관악구 남부순환로1648(서원동 1411-9),37.48449121,126.93394931
"서울 관악구 시흥대로166길14, 1층 (신림동 1661, 골드마인빌딩)",37.48262607,126.90246361
"서울 관악구 복은길60, 1층 (서림동 99-29, 빛나놀이방)",37.47450056,126.93917877
"서울 관악구 신사로22길48, 1층(신사동 477-8)",37.4871311,126.91806993
서울 관악구 남부순환로1578(신원동 1587-2),37.48349914,126.92589021
서울 관악구 난향길18(난향동 676-41),37.46287315,126.9178883
서울 관악구 인헌길100(인헌동 180-112),37.47111803,126.96725205
서울 관악구 중앙길78 (봉천동 50-176),37.48541662,126.95076141
"서울 관악구 행운10길15, 상가동 비01,02호 (봉천동 1728)",37.48257395,126.96148617
