address,latitude,longitude
"서울 광진구 아차산로243, 지하철2호선 건대입구역 상가212-004호 (화양동 7-3)",37.54041831,127.06919031
"서울 광진구 능동로지하 110, 지하3층 X-22,23호 (화양동 6-3)",37.54061311,127.07104367
"서울 광진구 천호대로지하 550, 지하1층 GS25 S군자역점 (능동 275-5)",37.55479468,127.07781684
"서울 광진구 능동로지하 210, 어린이대공원 역 상가1001 (화양동 164-1, 세종대)",37.54714145,127.07393896
서울 광진구 화양동 195-17,37.54564564,127.07623208
"서울 광진구 능동로120 (화양동 1, 건국대학교기숙사1층상가내109호)",37.53913017,127.07958266
"서울 광진구 아차산로36길5, 1층 3호 (자양동 227-336, 건국대학교동문회관)",37.53845299,127.07479324
"서울 광진구 능동로13길15, 1층(화양동 11-1)",37.54279238,127.07088084
서울 광진구 아차산로25길7(화양동 49-1),37.54183003,127.06653615
서울 광진구 아차산로78길182(광장동 323-2),37.54762822,127.10790604
서울 광진구 아차산로76길32 (광장동 322-3),37.54703951,127.10750565
"서울 광진구 아차산로546, 상가 1층 103호 (광장동 453-1, 삼성)",37.54289788,127.1019875
"서울 광진구 아차산로78길72, 1층 101-1호 (광장동 110, 학산코스모스텔)",37.55128676,127.11032962
"서울 광진구 아차산로66길31, 1층 (광장동 569)",37.54134748,127.09836238
서울 광진구 광장로83 (광장동 332-5),37.54805754,127.10629392
서울 광진구 자양로18길65 (구의동 242-82),37.53836861,127.08710545
"서울 광진구 아차산로417, 102호 (구의동 243-13)",37.53808509,127.08889674
"서울 광진구 천호대로562, 1층 (능동 220-4, 쥬얼테크)",37.55646313,127.08032023
"서울 광진구 능동로36길168, 1층 (능동 254-6)",37.55297897,127.08766292
"서울 광진구 동일로66길9, 1층 (중곡1동 252-23)",37.561753,127.07579554
서울 광진구 중곡동74-120번지 지하1층,37.55971036,127.09475687
"서울 광진구 자양로5길13-1, 1층 (자양2동 678-2, 연수빌딩)",37.53142273,127.08493856
"서울 광진구 천호대로666, 그랜드파크오피스텔 B105-1호 (구의동 76-1)",37.55141512,127.08934564
"서울 광진구 자양로50길18, 1층 (구의동 33-59)",37.55193204,127.09328914
서울 광진구 천호대로125길72 (중곡동 123-20),37.55757127,127.08726738
"서울 광진구 강변역로2, 1층 (구의동 587)",37.53780751,127.0902919
서울 광진구 자양로9길70 (자양동 633-14),37.53226733,127.0811492
서울 광진구 능동로354 (중곡2동 41-38),37.56098938,127.08186055
"서울 광진구 광나루로604, 104호 (구의동 201-8, 진넥스베르디엠)",37.54156425,127.0948971
"서울 광진구 동일로178, 105호 (화양동 21-20, 캠퍼스시티)",37.5478053,127.06784229
"서울 광진구 답십리로86길16, 1층 (중곡동 549-6)",37.57038862,127.08434884
서울 광진구 동일로62길34 (중곡동 636-9),37.55928481,127.07588262
서울 광진구 아차산로355 (자양동 779),37.53756455,127.08218179
서울 광진구 동일로30길28(화양동 19-38),37.5474708,127.06884233
"서울 광진구 뚝섬로34길67, B동 103호 (자양3동 854, 광진트라팰리스)",37.53229535,127.06748095
"서울 광진구 자양번영로3길54, 1층 (자양동 469)",37.53248496,127.07210623
서울 광진구 광나루로36길28 (구의1동 235-11),37.54371458,127.0862934
"서울 광진구 아차산로51길86, 1층 (구의1동 248-93)",37.54069764,127.08533443
서울 광진구 아차산로51길41 (구의동 252-4),37.53890934,127.0847905
서울 광진구 아차산로65길78 (구의동 204-27),37.54274478,127.09139747
"서울 광진구 아차산로395, 106호(구의1동 246-3, 민도빌딩)",37.53753368,127.08633488
서울 광진구 아차산로57길41(구의1동 241-96),37.54037942,127.08846146
"서울 광진구 구의강변로45, 103호(구의3동 593-15, 성진프라자빌딩)",37.53471732,127.0915175
서울 광진구 광나루로52길98 (구의동 220-52),37.53922439,127.09058021
"서울 광진구 아차산로58길47, 1층 (구의동 590-9)",37.53595399,127.08946579
서울 광진구 자양로30길79 (구의동 226-18),37.5430349,127.08928915
"서울 광진구 구의강변로96, 상가 107,8호(구의3동 610, 현대)",37.53915302,127.09419074
"서울 광진구 광나루로37길21, 1층 (구의동 65-10)",37.54595344,127.08800883
"서울 광진구 구의강변로22, 1층 (구의동 599-8)",37.53289105,127.09189041
"서울 광진구 광나루로532, 1층 1호 (구의1동 230-19, 우석빌딩)",37.54468666,127.08848823
"서울 광진구 광나루로56길32, 지하층 101호 (구의동 611, 구의현대2단지아파트)",37.53867881,127.09580327
"서울 광진구 동일로52길3, 1층 (군자동 117-35)",37.5548005,127.07165984
"서울 광진구 면목로17, 1층 (군자동 48-14, 나은던스)",37.5556957,127.07550818
"서울 광진구 능동로317, 1층 (중곡동 648-15)",37.55803506,127.07968972
"서울 광진구 천호대로533, 1층 (중곡동 639-5)",37.55815572,127.07783201
"서울 광진구 군자로10길26, 1층 (군자동 370)",37.54893826,127.07211733
서울 광진구 동일로34길8 (군자동 354),37.54999447,127.06893543
서울 광진구 능동로35길41(군자동 471-1),37.55727338,127.07676765
서울 광진구 군자로141(군자동 48-24),37.55431156,127.07480094
서울 광진구 동일로20길78(자양4동 6-39),37.54012723,127.06770026
"서울 광진구 동일로4길50-2, 1층 (자양동 52-163)",37.53568804,127.06352372
서울 광진구 광나루로20길40 (화양동 111-41),37.5453124,127.07395027
"서울 광진구 뚝섬로511, 1층 GS25뉴자양대동점 (자양동 553-205)",37.53578021,127.06719994
서울 광진구 능동로13길89 (화양동 33-20),37.54536789,127.06840452
"서울 광진구 능동로258, 1층 코너 (능동 283-6, 천지빌딩)",37.55295442,127.07754526
"서울 광진구 능동로36길95, 1층(능동 246-4)",37.55460967,127.08414581
"서울 광진구 능동로32길65, 1층 (능동 234-35)",37.55420591,127.08204564
"서울 광진구 능동로4길17, 1층 (자양동 553-376)",37.53343218,127.06881324
"서울 광진구 천호대로127길13, 1층 (중곡동 93-49)",37.55373279,127.08960038
서울 광진구 천호대로129길22(구의2동 52-1),37.55263393,127.09082473
"서울 광진구 용마산로174, 상가동 105호 (중곡동 292, SK아파트)",37.56847582,127.08634193
"서울 광진구 동일로18길31, 1층 (자양동 13-9)",37.53968836,127.06461656
"서울 광진구 뚝섬로52라길3, 1층(자양2동 639-11)",37.52990613,127.07877957
"서울 광진구 자양번영로11, 1층 (자양동 584-13)",37.53070309,127.07468532
"서울 광진구 뚝섬로56길34, 1층(자양2동 650-6)",37.52987248,127.0825589
서울 광진구 아차산로40길62 (자양동 807-7),37.53495084,127.07747288
