address,latitude,longitude
서울 구로구 고척로27길51 (개봉동 118-26),37.5042122,126.84636643
서울 구로구 개봉로11길7 (개봉3동 348-1),37.4879854,126.85572995
"서울 구로구 경인로40길41, 107호 (개봉1동 181-5, 대덕빌딩)",37.49512683,126.85905883
서울 구로구 경인로330(개봉3동 353-1),37.49716805,126.85676598
서울 구로구 고척로33길60 (고척2동 241-129),37.50523755,126.84802456
서울 구로구 경인로47길10(고척1동 62-98),37.50016063,126.86717028
서울 구로구 우마길1 (가리봉동 122-21),37.48255868,126.8875509
서울 구로구 고척로19길16(개봉1동 62-19),37.50196746,126.84532655
서울 구로구 개봉로15길60 (개봉동 339-10),37.48999185,126.85264621
"서울 구로구 구로중앙로228, 101호(신도림동 399, 기임빌딩)",37.50618913,126.87665906
"서울 구로구 디지털로285, 104호 (구로3동 212-1, 에이스트윈타워1)",37.48447995,126.89448759
서울 구로구 공원로7길18 (구로동 547-11),37.50196144,126.88789642
"서울 구로구 디지털로34길55, 116호(구로3동 811, 코오롱싸이언스밸리2차)",37.48428973,126.89920544
서울 구로구 새말로30(구로5동 571-19),37.50243215,126.88430423
"서울 구로구 신도림로16, 101호(신도림동 642, 대림2차)",37.50603823,126.88259925
"서울 구로구 디지털로26길38, 지하1층 B101호 (구로동 832)",37.47983594,126.8950648
"서울 구로구 오리로11길99, 상가동 1층 101호 (오류동 358)",37.48713216,126.83116055
"서울 구로구 구일로2길60, 201동 125호 /126호/127호/128호/129호 (구로동 1259, 구일우성아파트)",37.48986088,126.87651917
"서울 구로구 부일로15길29, 1층 (궁동 208-16, 비치빌딩)",37.49412426,126.83298534
"서울 구로구 부일로11길85, 1층 (궁동 169-2)",37.4967435,126.82997034
"서울 구로구 디지털로27길120, 104호 (구로동 798-34)",37.48497602,126.88782035
"서울 구로구 디지털로27길50, 1층 (구로동 252-96)",37.4839198,126.89144294
"서울 구로구 디지털로306, 1층 102호(구로3동 182-13, 대륭포스트타워ⅱ)",37.48593862,126.89727031
"서울 구로구 도림로22길8, 상가동 102호, 103호 (구로동 1260)",37.49015397,126.89325055
서울 구로구 가마산로282(구로4동 97-3),37.49636428,126.89155304
서울 구로구 공원로6가길52(구로5동 33-1),37.5036669,126.89007657
서울 구로구 서해안로2317 (오류동 68-6),37.49274203,126.84177078
서울 구로구 서해안로2356(오류2동 138-27),37.49389098,126.84592586
서울 구로구 경인로15길80-4 (오류1동 4-1),37.49720034,126.83699739
"서울 구로구 부일로1길110, 101호, 102호 (온수동 75-4)",37.49520291,126.81822207
"서울 구로구 새말로102, 139호(구로5동 26, 포스빌)",37.50565499,126.8916532
