address,latitude,longitude
"서울 노원구 화랑로지하 347-1, 월계동 석계역 6호선 (월계동 25-2)",37.61526759,127.06683087
"서울 노원구 동일로지하 1074, 내 (공릉동 385-4, 7호선공릉역)",37.62589057,127.07250969
"서울 노원구 한글비석로530, (7호선마들역내) (상계9동 647, 상계주공12단지아파트)",37.66566115,127.05758595
"서울 노원구 동일로지하 1662, 수락산역 (상계동 1132-9)",37.67732929,127.05530712
"서울 노원구 동일로지하 992-1, 717동 1002호 (공릉동 616-4, 태릉입구역)",37.61913524,127.07511968
"서울 노원구 동일로지하 1196, 지하1층 GS25 (하계동 273-5)",37.6352211,127.0685415
"서울 노원구 동일로190길41, 1층 (공릉동 393-4)",37.6260573,127.0753851
"서울 노원구 섬밭로125, 상가동 104호,108호 (공릉동 715)",37.62769996,127.06886194
서울 노원구 동일로174길9-60 (공릉동 621-1),37.6199425,127.07580067
서울 노원구 동일로192길15(공릉1동 386-3),37.62621605,127.07379712
"서울 노원구 노원로58 (공릉2동 108, 우방아파트상가제1층 102호)",37.62679079,127.086263
서울 노원구 동일로193길21 (공릉1동 383-1),37.62574714,127.07145791
"서울 노원구 공릉로43길19, 1층 (공릉동 408-89)",37.62593673,127.07840002
"서울 노원구 화랑로51길17, 상가 101호 (공릉동 111, 화랑타운아파트)",37.62381487,127.08943739
서울 노원구 광운로2나길45 (월계동 442-2),37.61778299,127.06020687
서울 노원구 동일로242가길16(상계1동 1117-68),37.67655119,127.05603117
"서울 노원구 노원로34길62, 1층 (상계동 430-4)",37.66170884,127.06592114
"서울 노원구 노해로451, 1층 2호(상계6.7동 705-2, 청산빌딩)",37.65409676,127.05819677
"서울 노원구 노원로38길76, 상가동 106,107호 (상계동 680)",37.66459236,127.06140786
서울 노원구 공릉로58길87 (하계1동 168-2),37.63573598,127.0732824
"서울 노원구 한글비석로44길31, 1층 (상계동 151-4, 흥봉빌딩)",37.66422697,127.06987933
"서울 노원구 동일로227길43, 101호,102호 (상계8동 652-1, 평강교회)",37.66697906,127.05450886
서울 노원구 한글비석로24길63(상계5동 155-13),37.66321925,127.07349622
서울 노원구 한글비석로46길72 (상계동 135-14),37.6665861,127.06967986
"서울 노원구 덕릉로780, 아파트상가144,146,147,148호 (상계동 1285)",37.66691617,127.07959378
"서울 노원구 상계로9길23, 103,104,105호 (상계동 397-4)",37.65826813,127.06607759
"서울 노원구 동일로231길62, 104호 (상계동 1068, 중앙하이츠아파트)",37.67223672,127.05172159
"서울 노원구 동일로237길46, 1층 (상계동 1048-6)",37.67366021,127.05282573
"서울 노원구 월계로53길21, 1층 (월계동 940, 동원베네스트)",37.63176315,127.05858067
"서울 노원구 월계로53길65, 1층 (월계동 272-38)",37.63312349,127.05855217
"서울 노원구 한글비석로5길62, 상가동 105호 (중계동 362-1, 중계8단지주공아파트)",37.64640453,127.07446436
서울 노원구 중계로16나길9 (중계동 107-18),37.65161683,127.08193583
"서울 노원구 공릉로63길16, 1층 (하계동 279-7)",37.63504486,127.07018655
