address,latitude,longitude
"서울 마포구 양화로지하 45, 6호선 지하1층 편의점 (합정동)",37.54902647,126.91345262
"서울 마포구 마포대로지하 92, 지하3층 (도화동 25-13, 공덕역)",37.54273987,126.95162201
"서울 마포구 성암로지하 184, 지하 상가 (상암동 1140, 디지털미디어시티역사)",37.57684388,126.8991236
"서울 마포구 양화로지하 188, B2F R01호 (동교동 190-1)",37.55767392,126.92796148
"서울 마포구 신촌로4길18, 1층 코너면 (동교동 176-1)",37.55717135,126.92818372
서울 마포구 신촌로16길8(노고산동 49-50),37.55535704,126.9347967
"서울 마포구 백범로35, 1층 106호 (신수동 1-1, 곤자가플라자)",37.55095175,126.94290592
"서울 마포구 마포대로155, 지하1층(공덕동 275, 마포LG빌딩)",37.54820837,126.95355981
"서울 마포구 월드컵로196, 1층(성산2동 591-4, 대명비첸시티)",37.56478557,126.90273081
"서울 마포구 만리재옛길46, 1층 (신공덕동 5)",37.54781467,126.95692638
서울 마포구 도화2길2(도화동 344),37.54035207,126.9485776
"서울 마포구 월드컵북로121, 1층 (성산1동 53-2)",37.56375116,126.91266151
"서울 마포구 토정로320, 1층 (용강동 51-8, 백남빌딩)",37.53935539,126.94391832
"서울 마포구 성미산로29안길25, 1층 전체 (연남동 241-87)",37.5655079,126.92344598
"서울 마포구 마포대로63-8 (도화동 173, 삼창프라자1층3-1호)",37.54221105,126.94788386
"서울 마포구 월드컵로3길14, 208호 209호 (합정동 473, 마포한강2차푸르지오)",37.55121064,126.91189309
서울 마포구 포은로67(망원1동 394-86),37.5532465,126.9059897
서울 마포구 월드컵로16길3(서교동 440-15),37.55707442,126.9097253
"서울 마포구 토정로233, 1층 (신수동 442-1)",37.5441549,126.93655169
"서울 마포구 포은로98, 1층 코너면 (망원동 411-41)",37.55573364,126.90504791
서울 마포구 와우산로21(상수동 333-1),37.54644414,126.92270172
"서울 마포구 월드컵북로400, 1층 (상암동 1602)",37.58048372,126.88946927
"서울 마포구 월드컵북로396, 제지1층 제비1033호 (상암동 1605, 누리꿈스퀘어)",37.5794763,126.88965406
"서울 마포구 매봉산로2길78, 1층 (상암동 19-12)",37.57594283,126.89622739
"서울 마포구 매봉산로2길45, 1층(상암동 21-3, 해나리빌딩)",37.57734528,126.89588969
"서울 마포구 월드컵로64, 1층 일부 (서교동 476-14)",37.55503485,126.91132818
"서울 마포구 월드컵로14길29, 1층 (서교동 473-20, 영화빌딩)",37.55630323,126.91207935
"서울 마포구 와우산로25길13, 1층 (서교동 342-3)",37.5539782,126.9258188
"서울 마포구 동교로17길55, 1층 (서교동 458-2)",37.55711015,126.91458024
"서울 마포구 월드컵로240(성산2동 515, 월드컵경기장)",37.56963416,126.89896937
"서울 마포구 성미산로1길21, 1층 (성산동 253-3, 사울빌딩)",37.5589955,126.90797691
서울 마포구 월드컵북로16길34 (성산동 13-1),37.5628913,126.91616026
서울 마포구 성산로124 (성산1동 275-1),37.56386547,126.9074757
서울 마포구 독막로230 (신수동 47-17),37.54696116,126.93900147
"서울 마포구 성미산로158, 1층 101호 (연남동 239-46, 제이에스빌)",37.56439376,126.92379027
서울 마포구 성미산로112(연남동 504-1),37.56204843,126.9195568
서울 마포구 동교로29길32(연남동 257-23),37.56192878,126.92322583
서울 마포구 월드컵북로6길69(연남동 567-11),37.55976194,126.92176297
서울 마포구 연남로31(연남동 509-22),37.56240029,126.9215778
"서울 마포구 월드컵북로4길72, 1층 일부호 (동교동 198-1)",37.55892365,126.92271448
"서울 마포구 대흥로14, 1층 우측(구주소494-131번지) (용강동 494-2)",37.54234124,126.93726772
서울 마포구 양화로1길67(합정동 435-42),37.55144863,126.90936588
"서울 마포구 양화로59, 1층 우측면 (서교동 393-5)",37.55063421,126.91485524
서울 마포구 독막로2길13(합정동 366-2),37.54796655,126.91479206
"서울 마포구 성지길36, 1층 (합정동 375-11)",37.54715688,126.91297051
"서울 마포구 포은로42, 1층(합정동 434-8)",37.55131152,126.90720629
"서울 마포구 희우정로19, 1층(합정동 398-16)",37.54918546,126.9082219
"서울 마포구 양화로6길18, 1층 일부호 (합정동 413-27)",37.54891719,126.91528754
"서울 마포구 신수로32, 1층 (현석동 9-14)",37.54447757,126.93436308
서울 마포구 양화로21길21(동교동 154-1),37.55905996,126.92481774
