address,latitude,longitude
"서울 서대문구 가재울미래로2, 203동 101호 (남가좌동 385, 2단지)",37.57410234,126.91639401
서울 서대문구 모래내로15길54 (남가좌동 376),37.57489386,126.92017501
"서울 서대문구 경기대로9길50, 지하1층(충정로3가 1-35)",37.56416312,126.96141859
"서울 서대문구 거북골로51, 1층 (남가좌동 343-50)",37.578448,126.92259173
서울 서대문구 거북골로79 (남가좌동 226-9),37.57676963,126.9203517
"서울 서대문구 증가로117, 1층 (남가좌동 338-6)",37.57695968,126.92439059
"서울 서대문구 증가로197-60, 1층 101호 (북가좌동 75-7)",37.57812971,126.91538466
"서울 서대문구 모래내로143, 1층 상가 105호 (남가좌동 105-1)",37.56955388,126.91756927
"서울 서대문구 모래내로207, 102호, 103호 (남가좌동 80-26, 마마스빌딩)",37.57327622,126.92260964
"서울 서대문구 수색로6길17-14, 105, 106호 (북가좌동 484)",37.5711634,126.91230471
"서울 서대문구 가재울미래로2, 103동 105호 (남가좌동 385, DMC파크뷰자이)",37.57377119,126.91663654
서울 서대문구 수색로2길8 (남가좌1동 102-16),37.56916366,126.91628445
"서울 서대문구 신촌로61, 1층 (창천동 72-25)",37.55666945,126.93345381
"서울 서대문구 독립문로10, 상가 1층 108,110호 (영천동 100)",37.57027143,126.95826601
서울 서대문구 거북골로10 (홍은동 401-40),37.58110922,126.92590462
"서울 서대문구 명지대길46, 1층 전체 (홍은동 421-2)",37.58221048,126.92414522
서울 서대문구 거북골로37(남가좌2동 324-50),37.57926087,126.92379141
서울 서대문구 통일로105(미근동 198),37.56430781,126.96764216
"서울 서대문구 증가로24라길1, 1층 GS25북가좌센터점 (북가좌동 3-101)",37.58238602,126.91673815
서울 서대문구 증가로12나길101(북가좌2동 3-15),37.58266711,126.91988159
서울 서대문구 응암로87(북가좌2동 309-1),37.58078948,126.91165521
서울 서대문구 거북골로170(북가좌1동 424-53),37.576661,126.91146624
서울 서대문구 증가로12가길78 (북가좌동 5-95),37.58101075,126.91808272
"서울 서대문구 거북골로209, 1층 (북가좌동 366-19)",37.57892529,126.90785571
"서울 서대문구 증가로31길1, 1층 (북가좌동 329-1, 서머나교회)",37.58351705,126.91137773
서울 서대문구 응암로68(북가좌2동 306-22),37.57896243,126.91090062
서울 서대문구 북아현로105(북아현동 189-2),37.56479834,126.95173176
"서울 서대문구 통일로510, 상가동 지하2층 113호 (홍은동 464, 북한산더샵)",37.59216618,126.94200616
서울 서대문구 세검정로3길68 (홍제동 266-182),37.59395416,126.94748417
"서울 서대문구 연희로36길10, 1층 (연희동 165-14)",37.57855747,126.93665128
"서울 서대문구 증가로6길32, 1층 (남가좌동 327-1)",37.57783961,126.92603084
"서울 서대문구 이화여대2다길5, 1층 (대현동 67-53)",37.5577237,126.94852596
"서울 서대문구 충정로59, 102호 (충정로2가 192, 서대문디오빌오피스텔)",37.56410335,126.96487177
