address,latitude,longitude
"서울 서초구 나루터로83 (잠원동 13-6, 남서울주유소)",37.51607005,127.01887155
"서울 서초구 신반포로지하 105, 신반포역 역사 내 (반포동 128-1)",37.50373883,126.99684249
서울 서초구 반포동19-3 7호선고속버스터미널,37.5043539,127.00350728
"서울 서초구 신반포로지하 241, 반포역 상가1054 (잠원동 103)",37.50828009,127.01180246
서울 서초구 강남대로465(서초4동 1303-22),37.50374162,127.02406592
서울 서초구 서초대로77길13 (서초동 1317-7),37.49882953,127.02608638
"서울 서초구 신반포로329, 1층 1,2호 (잠원동 40-9, 세기빌딩)",37.51077788,127.01959688
"서울 서초구 사임당로26, 1층 (서초동 1597-1)",37.4876464,127.01293372
"서울 서초구 강남대로6길66-18, 1층 (양재동 358-6)",37.46782411,127.04484764
"서울 서초구 동광로43길51-13, B1층 (반포동 551-32)",37.49722994,127.00070681
"서울 서초구 주흥9길14-18, 1층 (반포동 716-3, 반포동빌딩)",37.50755716,127.01911871
서울 서초구 사평대로53길103(반포1동 718-9),37.50872483,127.01975946
"서울 서초구 주흥13길17, 1층 (반포동 717)",37.50837195,127.01849726
서울 서초구 사평대로53길36(반포1동 734-22),37.50601689,127.02135572
서울 서초구 사평대로55길72 (반포동 735),37.50715397,127.02156708
"서울 서초구 서초대로27길57, 1층 102호 (방배동 850-3)",37.49043715,126.99341312
"서울 서초구 방배천로160, 1층 101호(서초3동 830-3, 고려빌딩)",37.48927826,126.98749201
"서울 서초구 효령로4길56-16, 1층 101호 1층 전체 (방배동 484-1, 로얄그린빌라트)",37.47559511,126.99005088
서울 서초구 방배로146 (방배동 898-6),37.48694025,126.99437596
"서울 서초구 동광로88, 1층 101호 (방배4동 807-2, 부운빌딩)",37.49327374,126.99215373
"서울 서초구 서초대로1길37, 1층 (방배동 1948)",37.48944828,126.98315878
"서울 서초구 명달로9길57, 방배아트자이 103동 상가 1층 (방배동 992-1)",37.48017535,127.00205333
"서울 서초구 남부순환로2311-12, 상가 103호(방배3동 1008-2, 래미안방배아트힐)",37.47794949,127.00630015
서울 서초구 방배로19길13(방배1동 926-5),37.48504738,126.99429957
"서울 서초구 방배천로6길32-2, 1층 (방배동 467-10)",37.47919551,126.98434922
서울 서초구 방배중앙로27길25 (방배동 766-3),37.49511664,126.98429197
"서울 서초구 동광로3길21, 1층(방배본동 787-1)",37.4919175,126.98424482
"서울 서초구 강남대로37길53, 1층 (서초동 1365-4)",37.48463852,127.03054477
"서울 서초구 사임당로8길4, 1층 105호(서초1동 1624-3)",37.48833226,127.01522018
서울 서초구 명달로4길32(서초3동 1467-65),37.48033041,127.00762541
"서울 서초구 서초대로73길54, 상가 110호(서초4동 1309-1, 디오빌강남)",37.50204708,127.0239975
"서울 서초구 서운로160, 101호,102호 (서초동 1316-4)",37.49768747,127.02417864
"서울 서초구 서운로11길28, 1층(서초2동 1342-13)",37.48763629,127.02692148
"서울 서초구 동산로19길35-1, 1층 일부 (양재동 300)",37.47400761,127.04623869
"서울 서초구 서초대로53길20-4, 1층 전체(서초4동 1697-14)",37.4960053,127.01474623
"서울 서초구 사임당로174, 107호 (서초2동 1337, 세인트하이얀빌딩)",37.49222731,127.0285808
"서울 서초구 양재대로2길90 (우면동 773, LH스타힐스제상가동2동105호,106호)",37.45725154,127.01808066
"서울 서초구 서초대로64길55, 1층(서초1동 1635-6)",37.49330457,127.02154423
서울 서초구 사임당로1길10(서초3동 1580-1),37.48788515,127.01131357
서울 서초구 반포대로8길5-10(서초3동 1451-7),37.48355977,127.01235429
서울 서초구 반포대로9길46(서초3동 1485-19),37.48305453,127.00904799
서울 서초구 효령로51길8(서초3동 1586-1),37.48479635,127.01260939
서울 서초구 사임당로139(서초2동 1332-7),37.49176402,127.02484374
"서울 서초구 반포대로14길36, 101,102호(서초3동 1589-7)",37.48559259,127.01300597
"서울 서초구 강남대로617, 1층 103호(잠원동 12-17, 대양빌딩)",37.51680048,127.01894117
"서울 서초구 매헌로16길6, 1층 (양재동 204)",37.46729327,127.03496282
"서울 서초구 바우뫼로184 (양재1동 82, 향천빌딩)",37.47851099,127.04043784
"서울 서초구 바우뫼로41길77, 1층 (양재1동 8-31, 대경빌딩)",37.4838847,127.03974722
"서울 서초구 마방로10길15, 트윈타워B동 1층 101호,102호 (양재동 275-4)",37.47688108,127.04389573
서울 서초구 강남대로23길64 (양재동 114-4),37.47522272,127.0360819
"서울 서초구 강남대로8길40-13, 103호 (양재2동 340-3)",37.46901051,127.04336291
"서울 서초구 동작대로230, 1층 (방배본동 753-5, 화련회관)",37.49685864,126.98358983
서울 서초구 신반포로33길64 (잠원동 63-34),37.51319314,127.00885324
"서울 서초구 나루터로69, 105호 (잠원동 15-4, 신사샤르망)",37.51565362,127.01755351
"서울 서초구 강남대로95길19-4, 외2필지 102호(잠원동 29-1)",37.51357318,127.01875719
"서울 서초구 강남대로97길51, 104호 (잠원동 24-6)",37.51398215,127.01700983
