address,latitude,longitude
서울 성동구 왕십리로125 (성수동1가 656-292),37.54872267,127.0439634
"서울 성동구 동호로지하 104, 324-09호 (금호동4가)",37.54810442,127.01587158
"서울 성동구 난계로67, 상가동 104호,105호 (왕십리2동 1058, 극동미라주아파트)",37.55851055,127.02335202
서울 성동구 무수막길49 (금호동3가 630),37.55088938,127.02246687
"서울 성동구 금호로127, 상가동 B3 - 2호 (금호동2가 1215)",37.55289794,127.02237273
서울 성동구 난계로114-31 (하왕십리동 1052),37.5613341,127.02592981
"서울 성동구 금호로102 (금호동1가 633, 벽산아파트상가동502-2호)",37.55163759,127.02687087
"서울 성동구 매봉길50, 상가동 B201호 (옥수동 528, 이편한세상옥수파크힐스)",37.5482781,127.01508843
서울 성동구 독서당로265 (금호동4가 1028),37.54685866,127.0188416
서울 성동구 상원6길10-1 (성수동1가 13-177),37.54873931,127.04937269
서울 성동구 성수이로26 (성수동2가 335-230),37.53761632,127.05448132
서울 성동구 왕십리로381-1 (하왕십리동 893-3),37.56457489,127.02775531
"서울 성동구 무학로6길50, 101동 103호 (도선동 69, 성동삼성쉐르빌)",37.56451701,127.03497779
"서울 성동구 아차산로38 (성수동1가 656-766, 개풍빌딩)",37.54650611,127.04842782
"서울 성동구 마장로40길12-1, 18호 (마장동 793-1)",37.5649382,127.04355246
서울 성동구 고산자로22길8 (마장동 512-7),37.56895864,127.03822593
서울 성동구 마장로301 (마장동 772-4),37.56644721,127.04296718
서울 성동구 마조로15길5 (마장동 800-20),37.56361033,127.04092074
서울 성동구 마장로280 (마장동 775-1),37.56535707,127.04076251
서울 성동구 사근동길47 (사근동 210-4),37.56112055,127.04612536
"서울 성동구 사근동길66, 101호 (사근동 204-11)",37.5610013,127.04809635
"서울 성동구 성수일로77, 107호 (성수동1가 13-164, 서울숲IT밸리)",37.54745477,127.04986431
"서울 성동구 뚝섬로1길31, 1층 102호 (성수동1가 656-334, 서울숲 M타워)",37.5440672,127.0465577
서울 성동구 살곶이8길2 (행당동 37-27),37.55719554,127.04100297
"서울 성동구 성수이로66, 101호 (성수동2가 323, 서울숲드림타워)",37.54053117,127.05616451
서울 성동구 왕십리로83-21 (성수동1가 685-700),37.5444322,127.04378055
"서울 성동구 금호로17 (금호동4가 235, 서울숲2차푸르지오상가동B107호)",37.54635344,127.02420096
서울 성동구 고산자로2길14 (응봉동 228-39),37.55229419,127.036618
"서울 성동구 금호산2길15, (지번)금호동3가 954 (금호동3가 954)",37.54893274,127.02121361
"서울 성동구 청계천로494, 120동 1011호 (하왕십리동 258, 벽산아파트상가)",37.56931894,127.03050101
"서울 성동구 고산자로284, 1층 오피스텔 (행당동 192-29, 성동샤르망)",37.56488317,127.03678417
"서울 성동구 서울숲2길41, 1층 (성수동1가 668-62)",37.54649144,127.04326764
"서울 성동구 왕십리로89, 1층 (성수동1가 685-697, 성동구민종합체육쎈터)",37.54574069,127.04402412
"서울 성동구 광나루로319, (송정동 66-29, 바른이치과) (송정동 66-29)",37.54837954,127.06525488
"서울 성동구 성수일로99, 109호,110호 (성수동1가 13-207)",37.54935733,127.05115294
"서울 성동구 성수이로147, 1층 (성수동2가 289-319)",37.54812647,127.05722306
"서울 성동구 연무장5가길25, 109호 (성수동2가 315-61, 성수역SKV1타워)",37.54378866,127.05562553
"서울 성동구 성수일로6길32, 1층 (성수2가3동 314-8, 아주섬유)",37.54447401,127.05344415
"서울 성동구 성수이로7길27, 101호 (성수동2가 333-140, 서울코오롱디지탈타워)",37.54156328,127.05340174
"서울 성동구 광나루로11길28, 럭키수퍼 (송정동 73-577)",37.55023263,127.06714435
"서울 성동구 뚝섬로3길16, 109호(성수1가1동 33-21, 비즈웰오피스텔)",37.54159672,127.04971234
"서울 성동구 성덕정길56(성수1가1동 237-2, 덕산빌딩)",37.53809936,127.04955305
"서울 성동구 연무장7길12, 104호(성수2가3동 315-70)",37.54362952,127.05488067
"서울 성동구 아차산로126, 108호 (성수동2가 273-17, 더리브세종타워)",37.54372547,127.05786693
"서울 성동구 아차산로11길11, 1층 101호(성수2가3동 277-50, 동성빌딩)",37.54476429,127.05932499
"서울 성동구 성수일로8길30, 1층 2호 (성수2가3동 300-75)",37.54565106,127.05415352
"서울 성동구 연무장길38-1, 1층 (성수동2가 310-65)",37.54279022,127.05358991
"서울 성동구 왕십리로10길15, 1층 (성수동1가 656-396, 나눔의교회)",37.54673166,127.04622953
서울 성동구 광나루로2길16 (성수동2가 299-129),37.54935721,127.0533824
"서울 성동구 광나루로6길35, 111호(성수2가3동 280-21, 우림e-BIZ센터)",37.54681393,127.06326007
서울 성동구 성수이로127 (성수동2가 289-8),37.54633383,127.05727959
"서울 성동구 아차산로13길16(성수2가3동 277-101, 램킨중흥오피스텔106,7호)",37.54464545,127.06137474
"서울 성동구 아차산로103, 101호(성수2가3동 300-4, 영동테크노타워)",37.54502424,127.05576837
"서울 성동구 서울숲2길32-14, 101동 1층 (성수동1가 685-696, 갤러리아포레)",37.54557109,127.04310965
서울 성동구 성덕정길128(성수2가1동 223-11),37.53650571,127.05757306
"서울 성동구 서울숲2길13-27, 1층(성수동1가 685-472)",37.54775667,127.04039963
"서울 성동구 송정18길7, 1층 (송정동 73-502)",37.55260306,127.06837105
서울 성동구 금호로151 (금호동2가 449-1),37.55428494,127.02012501
"서울 성동구 금호산길61, 1층(금호동2가 494)",37.55364694,127.01925059
서울 성동구 마장로185 (홍익동 420),37.56692149,127.03041889
"서울 성동구 독서당로166, 제1층 제상가 102호, 103호 (옥수동 475)",37.54060031,127.01174947
"서울 성동구 한림말5길7, 1층 (옥수동 365-21)",37.5418407,127.01677998
"서울 성동구 왕십리로20길8 (도선동 29, 태영빌딩)",37.56247268,127.03510603
서울 성동구 무학봉길58-1 (하왕십리동 980-22),37.56055018,127.02921113
"서울 성동구 왕십리로26길7, GS25왕십리사랑점 (도선동 311-35)",37.56375023,127.03266724
서울 성동구 하왕십리동700번지 일대상가 J동 140호,37.56536502,127.02523212
"서울 성동구 청계천로442, 101호,102호 (상왕십리동 12-45, 동일빌딩)",37.57045468,127.02617329
"서울 성동구 무학로33, 151동 1층 102호 (하왕십리동 1066, 텐즈힐)",37.56758187,127.02635785
"서울 성동구 용답중앙15길8-1, 1층 (용답동 14-9, 성신독서실)",37.56412643,127.05351249
서울 성동구 자동차시장1길28 (용답동 227-12),37.56106526,127.0605802
서울 성동구 자동차시장3길93 (용답동 238-5),37.55874832,127.06724192
"서울 성동구 왕십리로58, 114호 (성수동1가 656-3, FORHU)",37.54264127,127.04516135
"서울 성동구 고산자로160, A상가 104호 (응봉동 15,대림강변아파트)",37.55344067,127.03577706
서울 성동구 독서당로63가길23 (응봉동 265-101),37.55268183,127.03003752
서울 성동구 둘레1길10-1 (성수동1가 153-1),37.53837777,127.04608701
서울 성동구 사근동10길16(사근동 190-11),37.56036929,127.04905517
"서울 성동구 마조로21, 1층 (행당1동 19-9)",37.55979838,127.04085642
서울 성동구 마조로37 (행당동 1-133),37.56106284,127.04122505
"서울 성동구 행당로87, 대림리빙프라자 3층 326호 327호 356호 (행당동 347)",37.55721015,127.02846219
"서울 성동구 행당로6길2, 1층101,102호 (금호동1가 632, 종합사회복지관상가동)",37.55449552,127.02597356
서울 성동구 왕십리로21길46 (행당동 300-14),37.55947667,127.03015318
"서울 성동구 독서당로59길84, 1층 (행당동 344)",37.55431737,127.0328005
서울 성동구 왕십리로319(행당1동 286-4),37.56195806,127.0338789
"서울 성동구 왕십리로지하 374, 207-02호 (하왕십리동 946-14, 상왕십리역)",37.56433789,127.02961475
