address,latitude,longitude
"서울 성북구 인촌로지하 89, 6호선 지하철 역사 내 (안암동5가 146-1)",37.58608696,127.02935512
서울 성북구 개운사길56(안암동5가 15-19),37.58884394,127.02933065
"서울 성북구 보문로22길28, 1층(안암동3가 86)",37.58379187,127.02202547
"서울 성북구 북악산로27길14 (종암동 31-46, 돌채빌딩)",37.59213824,127.03439476
"서울 성북구 동소문로248, 105동 125~6호(길음1동 1276, 삼부아파트)",37.60342817,127.02452048
"서울 성북구 개운사길15, 1층 (안암동5가 101-16)",37.58712099,127.0290926
서울 성북구 동소문로17길12(동소문동6가 138-3),37.59304137,127.01501967
"서울 성북구 보문로189, 1층 (삼선동4가 343, 우리은행)",37.59057452,127.01418029
"서울 성북구 돌곶이로8바길39, 1층 (석관동 67-18)",37.60890852,127.06370505
"서울 성북구 월계로36길27, 꿈의숲 대명루첸상가 101호,102호,103호,104호,105호 (장위동 317)",37.62059668,127.04703116
"서울 성북구 종암로54, 107호(종암동 10-178, 동진상가)",37.59500923,127.03619214
서울 성북구 보문로14길40(안암동4가 41-13),37.58057696,127.02442245
"서울 성북구 화랑로33길39, 1층(장위2동 66-9)",37.61185374,127.05451629
"서울 성북구 보문로30가길12, 1층 (안암동1가 47-2)",37.58921104,127.02032404
"서울 성북구 화랑로96, 1층 (하월곡동 37-60)",37.60290202,127.04279481
"서울 성북구 오패산로10길30, 1층 117호 (하월곡동 59-2, 영광프라자)",37.60512768,127.038372
"서울 성북구 월계로40길7, 112호(장위동 316-3, 센트럴타운)",37.6229239,127.04846279
"서울 성북구 장위로20길21, 1층 (장위동 233-339)",37.61296081,127.04318692
서울 성북구 장월로21길22-6 (장위동 232-95),37.61566732,127.04694682
"서울 성북구 보국문로16가길35, 1층 (정릉동 266-377)",37.61200599,127.01151888
"서울 성북구 정릉로38길17, 1층 (정릉동 16-137)",37.60153355,127.01879216
"서울 성북구 아리랑로19나길4, 1층 (정릉동 522)",37.60234936,127.01074067
서울 성북구 보국문로8길67 (정릉동 402-128),37.60963672,127.01157289
서울 성북구 정릉동239외2필지 정릉풍림아이원 상가2 102호,37.61846628,127.00720821
"서울 성북구 종암로28길38, 1층 (종암동 3-679)",37.60148867,127.03410405
"서울 성북구 성북로4길52, 제스포츠센타동 제지하4층 5107호 (돈암동 609-1, 한신한진아파트)",37.59415451,127.01021503
