address,latitude,longitude
"서울 송파구 올림픽로지하 140, 2호선 잠실새내역 217-101호 (잠실동)",37.51137318,127.08596387
"서울 송파구 올림픽로지하 265, 지하 216-103호,104호 (신천동 8)",37.5131463,127.09978766
"서울 송파구 송파대로지하 257, 8호선 지하철 역사 (가락동 184-23)",37.49292916,127.11805624
"서울 송파구 올림픽로지하 383, 신천동 8호선 지하철 역사 (신천동 19)",37.51762109,127.11242631
서울 송파구 장지동56번지 8호선 지하철 역사 내부,37.48620353,127.12239827
서울 송파구 장지동600 8호선지하철역사 내,37.47087261,127.12674918
"서울 송파구 송파대로지하 439, 8호선 지하철 역사 (석촌동 209)",37.5065863,127.10568011
"서울 송파구 송파대로지하 354, (8호선 지하철 역사내) (가락동 459-4)",37.4997426,127.11223083
서울 송파구 송파대로지하 82 (장지동 201-5),37.47824052,127.12636948
"서울 송파구 백제고분로187 (잠실동 250-5, 파크인-수)",37.50474525,127.08762813
"서울 송파구 송파대로지하 439, 지하철9호선 석촌역 (석촌동 209)",37.50557615,127.10674403
"서울 송파구 송파동3, 지하철 9호선 송파나루역",37.50966154,127.11200026
서울 송파구 방이동88-26 지하철9호선 올림픽공원역 B1층,37.51619484,127.13024844
"서울 송파구 올림픽로지하 23, 9호선 종합운동장역 역사 (잠실동 122)",37.51110199,127.07428261
"서울 송파구 위례성대로51, 지하철9호선 한성백제역 지하1층 (방이동 88-21)",37.51664345,127.1166347
"서울 송파구 올림픽로지하 23, 2호선 종합운동장역 지하상가 4호 (잠실동)",37.51110199,127.07428261
"서울 송파구 충민로66(문정2동 634, 가든파이브라이프패션관B1-1028호)",37.47771377,127.1258103
"서울 송파구 송파대로32길15 (가락본동 95-1, 가락금호아파트)",37.49525401,127.11686408
"서울 송파구 양재대로932, 도매권역 채소2동 내 902-1호 (가락동 600)",37.49341789,127.1111296
"서울 송파구 양재대로932, 가락동 농수산물도재시장 내 채소2동 901-1호 (가락동 600)",37.49341789,127.1111296
"서울 송파구 중대로10길37, 1층 (가락동 109)",37.49103521,127.12387967
"서울 송파구 송이로23길18, 1층 (가락2동 144-20)",37.49584709,127.125124
"서울 송파구 양재대로932, 1층 1호 (가락동 600, 업무동)",37.49510046,127.1156106
"서울 송파구 동남로11길12, 1층 (가락동 135-24)",37.49319799,127.12756364
"서울 송파구 문정로11길20, 1층 (가락동 187-9)",37.49399306,127.13397776
"서울 송파구 오금로36길69-14, 1층 (가락동 49-10)",37.49776577,127.12140347
서울 송파구 오금로44가길9 (가락동 170),37.49734243,127.13485513
"서울 송파구 송파대로30길16, 110호(가락본동 98, 두산위브센티움)",37.49471253,127.11916616
