address,latitude,longitude
"서울 양천구 목동중앙로지하 217 (목동 136-2, 신목동역 내)",37.5446684,126.8828716
서울 양천구 공항대로558(목3동 603-5),37.54917027,126.86739085
"서울 양천구 목동중앙본로26, 1층(목2동 751-2)",37.53898913,126.87027187
"서울 양천구 은행정로5길24-1, 1동 1층 102호 (신정동 1027-30)",37.5211024,126.85704569
"서울 양천구 목동서로383, 102호, 103호 (신정동 323-6)",37.51590129,126.86149138
"서울 양천구 목동중앙남로5, 1층 (목동 772-5)",37.53503178,126.86914353
"서울 양천구 목동중앙서로8길23, 1층 (목동 803-1)",37.53162605,126.86634378
"서울 양천구 목동남로4길56, 1층 내 (신정동 171-25)",37.50916432,126.86740747
"서울 양천구 오목로300, 205동 122호(목1동 961, 현대하이페리온)",37.52484086,126.87006668
서울 양천구 화곡로105 (신월동 23-14),37.54006427,126.83350304
"서울 양천구 남부순환로70길16, 1층(신월7동 963-12)",37.52183339,126.83503134
"서울 양천구 화곡로10길6, 1층 (신월동 58-20)",37.53881253,126.83084083
"서울 양천구 목동로19길11, 1층 (신정동 996-1)",37.52484704,126.86319949
서울 양천구 오목로42길5 (신정동 989-1),37.52497305,126.86038059
서울 양천구 오목로153 (신정동 922-16),37.52501513,126.85448578
"서울 양천구 중앙로29길61, 상가동 101,102,103,117,118,119호 (신월동 1063)",37.51769989,126.84719952
"서울 양천구 신정로14길1, 상가동 103호 (신정동 1294, 학마을아파트)",37.50892438,126.8444955
