address,latitude,longitude
"서울 영등포구 은행로64, GS칼텍스內편의점(여의도동 10-1)",37.53035064,126.92556942
"서울 영등포구 여의대로128, 지하1층 (여의도동 20)",37.52782478,126.92921472
"서울 영등포구 영중로8길14, 4층 (영등포동3가 18, 영등포케이빌딩)",37.5181796,126.90713537
"서울 영등포구 영중로8길14, 6층 (영등포동3가 18, 영등포케이빌딩)",37.5181796,126.90713537
"서울 영등포구 영중로8길14, 8층 (영등포동3가 18, 마사회)",37.5181796,126.90713537
"서울 영등포구 국회대로지하 758, 지하철역 (여의도동 1-6)",37.52740293,126.91851807
"서울 영등포구 양평로지하 40, 당산역 내부 (당산동6가 227-1)",37.53496117,126.90272669
서울 영등포구 의사당대로지하 166 (여의도동 5-6),37.51714398,126.92983115
"서울 영등포구 양평로지하 124, 선유도역 내부 (양평동5가 66-1)",37.53852935,126.89404085
서울 영등포구 의사당대로지하 101 (여의도동 2-6),37.52280338,126.92298519
"서울 영등포구 도림로지하 137, 7호 호선 대림역 (대림동 1050-17)",37.49281872,126.89685253
서울 영등포구 신풍로113(신길6동 508),37.5001491,126.9188208
서울 영등포구 신풍로지하 27 (신길6동 3599),37.50030597,126.90942033
"서울 영등포구 신길로1, 1층 일부 (대림1동 948-1, 강남성심병원)",37.49325415,126.90881045
"서울 영등포구 선유로75 (문래동6가 10, GS강서타워지하1층)",37.52078568,126.88900852
"서울 영등포구 여의나루로50, 지하1층 5호 (여의도동 35-3, 한국교직원공제회관)",37.52181815,126.9256126
"서울 영등포구 버드나루로5, 여의도리미티오148 오피스텔 상가동 103,104호 (영등포동2가 139)",37.51937149,126.91228774
"서울 영등포구 양평로49, 1층 (당산동5가 16-1, 대림빌딩)",37.53408867,126.90095176
"서울 영등포구 당산로41길11, E-109-2 (당산동4가 80)",37.53084678,126.89825001
"서울 영등포구 국회대로55길10, 제1층-1 (당산동 121-162)",37.52605667,126.9083215
서울 영등포구 양산로19길11 (당산동3가 398-3),37.52536442,126.89492534
서울 영등포구 국회대로37길15(당산동4가 32-102),37.52834915,126.89999512
"서울 영등포구 당산로30길9, 1층 (당산동3가 223-6)",37.52563357,126.89769314
"서울 영등포구 당산로214, 상가 2동 1층 102호 (당산동5가 42, 당산삼성래미안)",37.53139634,126.90211138
"서울 영등포구 버드나루로22길5, 상가 103호 (당산동,강변한솔그라치아) (당산동 121-41)",37.53089745,126.90758341
"서울 영등포구 국회대로53길19, 1층 (영등포동8가 48-1)",37.5271381,126.90639375
"서울 영등포구 영등포로106, 102동 106호 (당산동2가 16-1, 대우아파트)",37.52152621,126.89302486
"서울 영등포구 당산로246, 1층 (당산동6가 283)",37.53518243,126.90326655
서울 영등포구 영중로157-11 (영등포동8가 85-12),37.53037669,126.90486432
서울 영등포구 영등포로25길5 (당산동1가 24),37.52158739,126.89763954
"서울 영등포구 당산로45길1, 상가 110호 (당산동5가 9-2, 쉐르빌)",37.53326526,126.90057915
"서울 영등포구 영신로219, 106호(당산동4가 1-2, 코오롱스타폴리스)",37.52734862,126.90286083
"서울 영등포구 당산로229, 2층 006호 (당산동6가 323-1, 당산역)",37.53525521,126.90237162
서울 영등포구 선유동1로12-1(당산동2가 111),37.52319109,126.89184634
"서울 영등포구 양평로16, 21번지 대정프라자(당산동6가 216-8)",37.53283379,126.90456816
"서울 영등포구 선유로52길11, 1층 (당산동6가 342, 석천)",37.53587786,126.89956772
"서울 영등포구 양평로64, 1층 (당산동6가 338-1, 한경빌딩)",37.53523342,126.90002978
서울 영등포구 당산로49길20(당산동6가 350-14),37.53642447,126.90117772
"서울 영등포구 버드나루로19길5 (당산동 121-115, 찬솔원룸)",37.5283909,126.90740501
"서울 영등포구 영등포로103, 106호 (당산동2가 37, 하나비즈타워)",37.52203178,126.89313052
"서울 영등포구 국회대로29길3, 1층 (당산동4가 92, 현대아파트)",37.52861299,126.89640478
"서울 영등포구 당산로205, 상가 104호 (당산동5가 9-3, 당산역효성해링턴타워오피스텔)",37.53275674,126.90015667
"서울 영등포구 대림로198, 101호 (대림동 689-1, 대경빌딩)",37.49849392,126.89863506
서울 영등포구 대림로31길26(대림3동 732-5),37.49628867,126.89598724
서울 영등포구 도신로36(대림3동 605-28),37.50457933,126.89706404
서울 영등포구 대림동1101-7번지,37.48659614,126.90014404
서울 영등포구 디지털로54가길2(대림2동 1024-11),37.48879386,126.90296137
"서울 영등포구 가마산로329, 1층(대림3동 778-32, 소망빌딩)",37.49916229,126.89591101
서울 영등포구 도림로47길13 (대림동 694-6),37.49631563,126.89984318
서울 영등포구 대림로29길43 (대림3동 808-26),37.49377013,126.89549282
서울 영등포구 가마산로45길6 (대림동 668-10),37.50275491,126.89949988
서울 영등포구 도림로41길6(대림3동 710),37.49447211,126.89829833
"서울 영등포구 시흥대로591, 1층 일부 (대림동 994-4)",37.48553461,126.90323518
서울 영등포구 대림로219 (대림3동 779-8),37.50014701,126.89715186
"서울 영등포구 도림로54길16, 상가동 103호,105호 (대림동 1124)",37.49515827,126.9032867
서울 영등포구 디지털로413(대림1동 879-1),37.49346297,126.9041144
"서울 영등포구 여의대방로62길2, 1층 (신길7동 1432, 봉덕빌딩)",37.51380853,126.92667761
"서울 영등포구 도림로133, 1층 2호 (대림동 1050-10)",37.49306144,126.89679241
"서울 영등포구 도림로386, 1층 우측 (도림동 196-1)",37.51126155,126.89861714
서울 영등포구 도신로69 (도림동 251-8),37.50636428,126.90005766
"서울 영등포구 도신로29길8-1, 1층 (도림동 113-12)",37.50928614,126.90517254
서울 영등포구 도신로147 (도림동 76-1),37.50977063,126.90786877
"서울 영등포구 대림로34길25-2, 1층 (대림동 684-14)",37.49973091,126.90084485
"서울 영등포구 여의대방로65길23, 101호 (여의도동 45-13, 포레스텔빌딩)",37.52025217,126.92879126
서울 영등포구 당산로34(문래동3가 55-5),37.51742243,126.89644517
서울 영등포구 도림로441-1 (문래동2가 15-1),37.51441542,126.89381991
"서울 영등포구 선유로9나길22, 1층 (문래동5가 19-12, 전일빌딩)",37.51573732,126.88587081
"서울 영등포구 선유로76, 101호 (문래동3가 84-2, 동국메뜨리앙)",37.52065905,126.8899154
"서울 영등포구 문래로38, 102호,103호 (문래동6가 54, 문래동미원아파트)",37.51986895,126.88638632
"서울 영등포구 경인로82길3-4, 104호(문래동1가 39, 센터플러스)",37.51209375,126.89703265
"서울 영등포구 경인로77길14, 1층 (문래동2가 40-6, 영문빌딩)",37.51300999,126.89287919
"서울 영등포구 경인로775, 129호 (문래동3가 55-20, 에이스하이테크시티)",37.51435145,126.8995106
서울 영등포구 문래동4가41 신안인스빌단지내상가 1층 103,37.51424013,126.88858523
"서울 영등포구 경인로775, 112호 (문래동3가 55-20, 에이스하이테크시티)",37.51466766,126.89863496
"서울 영등포구 당산로26, 상가 103호(문래동3가 54, 문래자이아파트)",37.51698409,126.89485664
서울 영등포구 문래로28길25 (문래동3가 55-18),37.51608385,126.89976796
"서울 영등포구 문래북로116, 103호 (문래동3가 46, 트리플렉스)",37.51943789,126.8980671
서울 영등포구 영등포로12길11 (양평동1가 14-1),37.521539,126.88767377
"서울 영등포구 문래동3가83-3 4 대동오피스텔 107,108 호",37.51998052,126.89058158
"서울 영등포구 신풍로113, 1층 (신길동 508, 시원빌딩)",37.50011203,126.91870824
"서울 영등포구 국제금융로39, 1층 126,127,128호 (여의도동 525)",37.52364008,126.92978362
"서울 영등포구 국제금융로39, 307호(상가동) (여의도동 525, 브라이튼 여의도)",37.52409075,126.92979981
"서울 영등포구 영등포로150, A동 104호 생각공장당산 (당산동1가 12-1)",37.52034092,126.89828007
"서울 영등포구 선유로49길23, 123호(선유도역2차IS비즈타워) (양평동4가 80)",37.5364407,126.89519187
서울 영등포구 여의대방로53길28(신길1동 467-3),37.51216846,126.92171281
서울 영등포구 영등포로412-1(신길7동 1320),37.5127544,126.92371781
"서울 영등포구 영등포로62길8, 1층 (신길동 49-1)",37.51525856,126.91673641
"서울 영등포구 가마산로77길1, 1층 일부호 (신길동 245-8)",37.50508073,126.91422559
서울 영등포구 신길로42길20(신길동 233-145),37.50736435,126.91269952
"서울 영등포구 대방천로180, 111호 (신길동 4518, 우성2차아파트)",37.49711911,126.91168325
"서울 영등포구 신길로8길11, 외 3필지 1층 102호 (신길동 4765)",37.49583957,126.90972278
서울 영등포구 신길로61 (신길동 448-15),37.49815667,126.90792485
"서울 영등포구 도림로308, 1층 (신길동 355-356)",37.50513725,126.90279012
서울 영등포구 경인로114가길4 (영등포동1가 79-1),37.51809888,126.91401436
서울 영등포구 도신로62길23 (신길동 120-64),37.51041418,126.91905733
"서울 영등포구 여의대방로35길39, 전면 우측 전부 (신길동 2325)",37.50112158,126.91678235
"서울 영등포구 영등포로62길27, 1층 (영등포동 575-12)",37.51603486,126.9149266
"서울 영등포구 신길로28길25, 121동 지2층 비201,202,203호 (신길동)",37.50287691,126.91267412
"서울 영등포구 도신로256, 1층 (신길동 100-24)",37.51369055,126.91868204
서울 영등포구 신길로39길14 (신길동 257-41),37.50699052,126.90928916
"서울 영등포구 시흥대로173길13, 상가동 103호 (대림동 1121, 신대림자이아파트)",37.48658166,126.90246228
"서울 영등포구 대림로8길17, 1층 102호 (대림1동 972-7, 낙원빌라)",37.49118783,126.90557246
"서울 영등포구 도영로2-11, 101호 (대림동 629-35, 한성메르디앙)",37.50629379,126.89443742
"서울 영등포구 신풍로77, 상가 A동 110호 (신길동 2039, 래미안에스티움)",37.50028829,126.91141107
"서울 영등포구 양평로24길9, 110동 (양평동5가 76, 양평동한신아파트)",37.54127118,126.891443
"서울 영등포구 양산로7길3, 105호 (양평동3가 17-1, 우림보보카운티오피스텔)",37.52565256,126.88722804
"서울 영등포구 양평로30가길19, 동양아파트 204동 107, 108호 (양평동6가 100)",37.54234271,126.89040871
"서울 영등포구 선유동1로71, 상가동 103호 (양평동3가 66, 삼호아파트)",37.5283401,126.89324095
"서울 영등포구 양평동4가성원아파트 상가 105,106호",37.5337545,126.89411136
서울 영등포구 양산로9길10 (양평동3가 41-8),37.52617092,126.88869108
"서울 영등포구 선유서로89, 1층 1호 (양평동2가 29-6)",37.52386293,126.8856821
"서울 영등포구 선유서로117, 103호(양평동3가 23-4, 월드프라자)",37.52620185,126.88623561
서울 영등포구 양평로18길8(양평동4가 161-6),37.53725149,126.89710348
"서울 영등포구 영등포로13길18, 1층 (양평동1가 120-19)",37.52407764,126.88934435
서울 영등포구 양산로7(양평동3가 30-15),37.52609909,126.88394052
서울 영등포구 양평로24길8 (양평동5가 70-3),37.53915246,126.89322825
서울 영등포구 선유로51길36 (양평동4가 193),37.53822728,126.89449792
서울 영등포구 양평동3가0번지 현대6차아파트 상가동 110호,37.53131758,126.89367215
