address,latitude,longitude
"서울 중구 다산로지하 260, 지하 (흥인동 162-1, 신동역 6호선)",37.56756902,127.01611361
"서울 중구 다산로지하 115, 지하층 (신당동 369-2, 약수역 6호선)",37.55505047,127.01035898
"서울 중구 청구로116, 1층(신당동 304-499)",37.5621612,127.01053658
"서울 중구 마른내로156, 1층 (광희동1가 237, 광희빌딩 별관)",37.56451396,127.00529858
"서울 중구 삼일대로340, (1층2-1호) (저동1가 1-2, 남대문세무서)",37.56502641,126.98819951
서울 중구 마른내로28 (초동 72-10),37.56434703,126.99093664
"서울 중구 퇴계로43 (남창동 47-14, 남대문지하철상가1층1호)",37.55814846,126.97739298
"서울 중구 남대문로30, 2층(남창동 1-1)",37.56062133,126.97889852
서울 중구 소월로10 (남대문로5가 120),37.55852799,126.97544103
"서울 중구 충무로24, 101호, 102호 (인현동1가 158, 남산센트럴뷰스위트)",37.56326711,126.99320371
서울 중구 퇴계로18길16-1 (남산동1가 6-5),37.56015411,126.98532256
서울 중구 소공로6길22 (남산동1가 18-2),37.55844297,126.98437239
"서울 중구 필동로52, 1층 (필동2가 119-4)",37.55702495,126.99556265
"서울 중구 새문안로16, 지하2층 (충정로1가 75-1)",37.56636877,126.96839476
"서울 중구 퇴계로342, 1층 (광희동2가 176)",37.56432412,127.00951187
"서울 중구 퇴계로88길48, 1층 (신당동 145-6)",37.56366484,127.02012668
"서울 중구 을지로지하 42, 202동 111호 (을지로1가 100-1, 을지로입구역 2호선)",37.56612668,126.9820268
"서울 중구 마른내로51, 중구인현 (인현동1가 101-1, 인더라인)",37.56452366,126.99368485
"서울 중구 난계로173, S-4, S-5호 (황학동 787)",37.56694352,127.02325324
"서울 중구 다동길43, 1층 (다동 70, 한외빌딩)",37.56819532,126.98159114
"서울 중구 서소문로9길28, B114호 (순화동 217, 덕수궁롯데캐슬)",37.56370703,126.97003879
서울 중구 세종대로89 (태평로2가 362-1),37.56446577,126.976469
"서울 중구 동호로25길15, B1(장충동2가 193-87)",37.55863052,127.00213973
"서울 중구 을지로281, 디자인장터 C1호 (을지로7가 2-1)",37.56750019,127.01003581
"서울 중구 퇴계로73가길34, 1층 2층 1호 (신당동 251-77)",37.56688923,127.01347375
