address,latitude,longitude
"서울 중랑구 용마산로지하 227, 용마산역 상가1001 (면목동 1316-5)",37.57397791,127.08707849
"서울 중랑구 망우로504, 1층 (망우동 133-7, 한양빌딩)",37.60025005,127.10798023
서울 중랑구 망우로67길7 (망우동 358-7),37.60046759,127.10102419
"서울 중랑구 망우로68길56, 상가 1층 (망우동 364-39, 빙그레슈퍼)",37.59750213,127.10089
"서울 중랑구 용마산로99길9, 1층 코너(망우3동 531-24)",37.59185324,127.09743635
"서울 중랑구 겸재로61길9, 1층 (망우동 525-1)",37.59056233,127.09476831
"서울 중랑구 겸재로50길52, 1층 (면목동 71-23)",37.58882959,127.09323804
"서울 중랑구 중랑천로10길20, 1층 (면목동 186-21)",37.59168195,127.07415733
"서울 중랑구 봉우재로20가길27, 1층 (면목동 134-8)",37.59125123,127.08246273
서울 중랑구 동일로95길9 (면목동 172-58),37.58473699,127.07903274
"서울 중랑구 면목로432, 1층 야채왕 우리농산물마트 (면목동 121-26)",37.59045956,127.08727353
"서울 중랑구 면목로21길9, 1층 (면목동 398-1)",37.57238033,127.08323768
서울 중랑구 용마산로96길35 (망우동 436-27),37.59000347,127.09945158
서울 중랑구 면목로49길63 (면목동 592-1),37.58285498,127.0849774
"서울 중랑구 면목로54길45, 1층 (면목동 430-33)",37.58342416,127.09100519
서울 중랑구 공릉로68(묵1동 318-1),37.61640447,127.07965041
"서울 중랑구 숙선옹주로9길45-8, 1층 (묵동 50-3, 환진힐타운)",37.61712774,127.08343616
"서울 중랑구 동일로143길24 (묵2동 250-39, 적순빌딩)",37.60535679,127.07722697
서울 중랑구 숙선옹주로5길28 (묵동 60-4),37.61574809,127.08098378
서울 중랑구 묵동377 세원아파트상가동 1호2호,37.60937134,127.07440246
"서울 중랑구 봉우재로157, 1층 (상봉동 85-41)",37.59370974,127.09043847
"서울 중랑구 송림길5, 1층 (상봉동 49-11)",37.59938657,127.09515969
"서울 중랑구 용마산로115길127, 1층 1107호 (망우동 479, 한일써너스빌리젠시1단지)",37.59724043,127.09377014
"서울 중랑구 상봉중앙로6가길22-3, 1층 (상봉동 271-5)",37.59968513,127.08829331
"서울 중랑구 숙선옹주로85, 상가동 (묵동 13,아파트)",37.61614943,127.08509061
"서울 중랑구 신내동신내9단지진흥아파트상가 103호,104호,108호,118호",37.61202373,127.09457619
"서울 중랑구 신내로112, 1층 106,107호 (신내1동 618, 동성아파트3차 에이동)",37.60854095,127.096306
서울 중랑구 용마산로136길33 (망우동 18),37.60990541,127.10985835
"서울 중랑구 봉화산로56길46, 1층 (신내동 410-8)",37.60633897,127.09821271
서울 중랑구 면목로249 (면목동 372-19),37.57528883,127.08531905
"서울 중랑구 용마산로248, 제B02호,제B03호(면목7동 1502-2)",37.57521451,127.0885238
서울 중랑구 용마산로115길59 (망우동 491-39),37.59826549,127.09701916
"서울 중랑구 신내로7가길35, 상가동 104,105호 (상봉1동 495, 동부건영아파트)",37.60227802,127.09386759
"서울 중랑구 면목로78길51, 1층 (면목본동 96-25, 통마트)",37.59077786,127.08998724
서울 중랑구 양원역로80 (망우동 251-12),37.60731568,127.10578925
"서울 중랑구 면목로69길16, 101동 103호 (면목본동 538, 중랑지웰에스테이트)",37.58727085,127.0862368
"서울 중랑구 봉화산로48길62, 상가동 (상봉동 1)",37.60402284,127.09345004
"서울 중랑구 동일로136길10, 상가동 102,103,104호 (중화동 286-22, 청원다미소아파트)",37.60199925,127.07996381
"서울 중랑구 동일로123길112, 1층 전체 (중화동 329-167)",37.59968679,127.07461305
