address,latitude,longitude
서울특별시 강남구 일원동 711-2,37.491063277956044,127.08861626146101
서울특별시 강남구 남부순환로 2609 하늘빌딩,37.484963731,127.035096535
서울특별시 강남구 도산대로 114-2,37.516561748,127.021071741
서울특별시 강남구 역삼동 805-44,37.49674404833555,127.05079693389467
서울특별시 강남구 선릉로129길 9-4,37.515976372,127.040707542
서울특별시 강남구 삼성로 212,37.496018878,127.064009584
서울특별시 강남구 압구정로 216,37.528060472,127.031031309
서울특별시 강남구 선릉로116길 36 아름빌,37.513131698,127.046091048
서울특별시 강남구 강남대로122길 50 상명빌딩,37.508942825,127.027071827
서울 강남구 역삼동 858,37.49690083197403,127.02825466705154
서울특별시 강남구 영동대로138길 12 청담자이아파트,37.523003108,127.057523219
서울특별시 강남구 헌릉로590길 11,37.464398772,127.104002647
서울특별시 강남구 도산대로 165 신사힐,37.519487813,127.026641194
서울특별시 강남구 남부순환로363길 16,37.486335535,127.038115716
서울특별시 강남구 남부순환로 2742-2,37.486371717,127.045890238
서울특별시 강남구 압구정로79길 26,37.525109634,127.049297052
서울특별시 강남구 봉은사로 531,37.514062692,127.058097714
서울특별시 강남구 강남대로 302-2,37.490350395,127.031507509
서울특별시 강남구 헌릉로 710,37.464654279,127.116733553
서울특별시 강남구 삼성로 238 태원 리치타운상가,37.498610853,127.061406231
서울특별시 강남구 자곡동 333,37.4785030091609,127.10696770410503
서울특별시 강남구 역삼로7길 22,37.495611942,127.032895992
서울특별시 강남구 양재대로55길 6 수서1단지아파트 상가,37.491266053,127.088340690
서울특별시 강남구 대치동 651-2,37.49235166300232,127.05768948049581
서울특별시 강남구 압구정로77길 31,37.527196210,127.048058953
서울특별시 강남구 일원로 105-2,37.484770431,127.083628696
서울특별시 강남구 개포로109길 5,37.493240934,127.074702393
서울특별시 강남구 강남대로114길 26 논현동 197-3 공동주택,37.506093549,127.026477283
서울특별시 강남구 역삼로 555 대치동 더블유 타워,37.505006377,127.063374830
서울특별시 강남구 강남대로 246 다림빌딩,37.485502255,127.034019220
서울특별시 강남구 강남대로114길 41 성덕빌딩,37.506705490,127.027452428
서울특별시 강남구 광평로51길 27 삼익아파트,37.488683816,127.101282510
서울특별시 강남구 개포동 1282-3,37.4796476578361,127.05468274964613
서울특별시 강남구 테헤란로16길 16,37.498437256,127.033875964
서울특별시 강남구 테헤란로 120,37.498590444,127.030856445
서울특별시 강남구 강남대로 238-3 구두수선,37.484802549,127.034690187
서울특별시 강남구 자곡로 202 강남힐스테이트에코,37.474807005,127.105230953
서울특별시 강남구 테헤란로 408-2,37.504693812,127.050285148
서울특별시 강남구 봉은사로74길 13,37.511654008,127.051884439
서울특별시 강남구 강남대로 512,37.507906885,127.023317469
서울특별시 강남구 선릉로93길 26 우리빌딩,37.504831820,127.046451420
서울특별시 강남구 강남대로 324-2,37.491915864,127.030748504
서울특별시 강남구 논현로67길 32,37.493665571,127.037271712
서울특별시 강남구 강남대로162길 40-1,37.520689128,127.021880365
서울특별시 강남구 영동대로114길 10 삼성빌딩,37.515338234,127.060851436
서울특별시 강남구 압구정로 지하172 압구정역,37.526187806,127.028480503
서울특별시 강남구 대치동 600-13,37.4941321007702,127.06040856908228
서울특별시 강남구 남부순환로359길 37,37.487086233,127.035347214
서울특별시 강남구 언주로149길 5,37.520496657,127.033703190
서울특별시 강남구 개포로15길 3-4,37.478754767,127.045027021
서울특별시 강남구 남부순환로 지하2814 도곡역,37.490860764,127.055315420
서울특별시 강남구 봉은사로 지하102 신논현역,37.504634027,127.025031074
서울특별시 강남구 개포로 405 개포동상지리츠빌,37.487177037,127.060281809
서울특별시 강남구 학동로68길 7 삼성동힐스테이트,37.517607004,127.046746201
서울특별시 강남구 삼성동 172-92,37.507821527920534,127.0578539925571
서울특별시 강남구 강남대로94길 75,37.500751684,127.033398179
