address,latitude,longitude
서울특별시 노원구 상계로12길 68,37.655476482,127.070534331
서울특별시 노원구 중계동 136-1,37.66039333862668,127.07552899923512
서울특별시 노원구 월계동 276-8,37.63087358487111,127.05850891581089
서울특별시 노원구 섬밭로 258,37.639173562,127.064481793
서울특별시 노원구 공릉로46길 23 한보아파트,37.627531837,127.080120358
서울특별시 노원구 석계로 104 그린빌딩,37.623190505,127.060744553
서울특별시 노원구 섬밭로 190,37.633038128,127.067145639
서울특별시 노원구 한글비석로 474,37.664825072,127.065441949
서울특별시 노원구 중계동 93-10,37.65043603023123,127.08245606891106
서울특별시 노원구 노원로 435-2,37.655495851,127.066805161
서울특별시 노원구 상계로 316,37.670368536,127.080417348
서울특별시 노원구 공릉동 599-3,37.62049831204415,127.07468811425768
서울특별시 노원구 동일로 지하1074,37.643094662,127.064478800
서울특별시 노원구 상계로1길 54-4,37.658154713,127.061760009
서울특별시 노원구 상계로 182,37.660976439,127.073641730
서울특별시 노원구 누원로 28 수락리버시티 3단지,37.687485613,127.053608872
서울특별시 노원구 동일로 지하 1530-1,37.679914125,127.054947935
서울특별시 노원구 상계동 1289-4,37.66297980283215,127.07601076981274
서울특별시 노원구 동일로 1105-2,37.628458264,127.071466643
서울특별시 노원구 동일로 1378-2,37.651735770,127.061456370
서울특별시 노원구 동일로215길 23,37.648746550,127.057463635
서울특별시 노원구 월계로45길 21,37.625620150,127.051275226
서울특별시 노원구 중계동 358-4,37.6571355955834,127.07511730221302
서울특별시 노원구 석계로 104,37.623190505,127.060744553
서울특별시 노원구 동일로 1016,37.620847156,127.074862385
서울특별시 노원구 화랑로 361-3,37.615568877,127.068001429
서울특별시 노원구 중계로8길 29,37.646650570,127.083489632
서울특별시 노원구 공릉동 707-2,37.62974769946331,127.06793736459248
서울특별시 노원구 상계동 1121-42,37.67463455779179,127.05858640443068
서울특별시 노원구 동일로 지하1530-1 마들역,37.679914125,127.054947935
서울특별시 노원구 한글비석로 384 대호프라자,37.659837115,127.073233727
서울특별시 노원구 동일로 1324-2,37.647009384,127.063342473
서울특별시 노원구 중계동 378,37.64764281958156,127.07290816455313
서울특별시 노원구 화랑로 357-2,37.615488483,127.067599297
"서울특별시 노원구 마들로 111 월계미륭아파트,월계삼호아파트",37.625269997,127.063419765
서울특별시 노원구 공릉로 341-2,37.637294586,127.070145305
서울특별시 노원구 덕릉로 792 당고개빌딩,37.667695225,127.079296588
서울특별시 노원구 월계동 410-2,37.62306913888965,127.06078907413595
서울특별시 노원구 상계동 1104,37.67586705642206,127.05347698348422
서울특별시 노원구 동일로177길 18,37.620894939,127.073423382
서울특별시 노원구 동일로173길 12 서울공릉초등학교,37.618482091,127.074143431
서울특별시 노원구 덕릉로73길 28 양지대림2차아파트,37.652681544,127.071430576
서울특별시 노원구 덕릉로77길 5 벽산아파트,37.654019582,127.073713823
서울특별시 노원구 동일로237길 37,37.673492156,127.053292641
서울특별시 노원구 동일로 1664-2,37.676863638,127.055496703
서울특별시 노원구 덕릉로 672-2,37.657523342,127.075199343
서울특별시 노원구 동일로198길 64,37.629500343,127.075076398
서울특별시 노원구 초안산로2라길 1,37.632152822,127.057143040
서울특별시 노원구 초안산로 7,37.628596378,127.054923963
서울특별시 노원구 중계동 87-21,37.6463106455558,127.08198621605439
서울특별시 노원구 공릉동 395-1,37.62547457095124,127.07340076030911
서울특별시 노원구 공릉동 111-2,37.62440502710848,127.08921918307269
서울특별시 노원구 동일로 1380,37.651727179,127.061668132
서울특별시 노원구 화랑로 지하347-1 석계역 6호선,37.615303440,127.065647855
서울특별시 노원구 동일로 1007,37.620125279,127.074521994
서울특별시 노원구 중계동 362,37.64691055401856,127.07594347807542
서울특별시 노원구 상계로3길 15,37.656875712,127.062164467
서울특별시 노원구 동일로180길 48-9,37.622503703,127.077513582
서울특별시 노원구 동일로180길 48-6,37.622564857,127.076775939
서울특별시 노원구 노해로 508,37.654084942,127.064566329
서울특별시 노원구 노원로 29 우성아파트,37.624892436,127.085624711
서울특별시 노원구 상계동 456-23,37.6639678782373,127.0661041470204
서울특별시 노원구 상계동 617-6,37.65571400456171,127.06190710385289
서울특별시 노원구 노해로 489,37.654944545,127.062191860
서울특별시 노원구 한글비석로20길 23,37.660326134,127.073832502
서울특별시 노원구 한글비석로 396,37.661892105,127.073174668
서울특별시 노원구 공릉로 204,37.627832664,127.078145614
서울특별시 노원구 동일로 지하992-1 태릉입구역,37.618513806,127.075368405
서울특별시 노원구 섬밭로 210-2,37.634887215,127.066209627
서울특별시 노원구 동일로191가길 19,37.625925075,127.071112869
서울특별시 노원구 상계동 748,37.65210987174293,127.06430054156716
서울특별시 노원구 동일로 1398-3 가로판매대,37.653377913,127.061002572
서울특별시 노원구 석계로8가길 2,37.616645831,127.064379486
서울특별시 노원구 화랑로 341 석계역,37.615303440,127.065647855
서울특별시 노원구 월계로 370 희성프라자,37.630951347,127.060962424
"서울특별시 노원구 누원로 18(상계동, 수락리버시티4단지)",37.686610483,127.053270411
서울특별시 노원구 공릉동 442-2,37.62802101266145,127.07778351428246
서울특별시 노원구 공릉로 147,37.623191335,127.079083445
서울특별시 노원구 공릉동 81-3,37.62301915835577,127.08455528013309
서울특별시 노원구 동일로 1231-2,37.639147957,127.066615617
서울특별시 노원구 노해로 480,37.654176384,127.061431137
서울특별시 노원구 동일로 1426-2,37.655848643,127.060435384
서울특별시 노원구 한글비석로 377 삼창상가,37.658928008,127.073362813
