address,latitude,longitude
서울특별시 서대문구 홍은중앙로8길 5,37.598955197,126.947884625
서울특별시 서대문구 가좌로 50,37.578341052,126.930368503
,,
서울특별시 서대문구 응암로 86(북가좌동),37.580451299,126.912023970
서울특별시 서대문구 신촌역로 33 다솔빌딩,37.558953355,126.941775336
서울특별시 서대문구 수색로2길 19-1,37.569709484,126.915793503
서울특별시 서대문구 이화여대1길 19,37.557219706,126.944779786
서울특별시 서대문구 남가좌동 197-7,37.57376014787105,126.91951085164158
서울특별시 서대문구 북아현로 2,37.557739922,126.956417231
서울특별시 서대문구 연희로10길 83,37.563927721,126.933725787
서울특별시 서대문구 응암로 28,37.575910257,126.908499301
서울특별시 서대문구 신촌역로 4,37.557112496,126.943111210
서울특별시 서대문구 영천시장길 70,37.569531977,126.962607771
서울특별시 서대문구 수색로 28(남가좌동),37.569299955,126.915597765
서울특별시 서대문구 신촌로35길 10,37.558622997,126.955860707
서울특별시 서대문구 신촌로 103-2,,
서울특별시 서대문구 연세로 47-2,37.559788611,126.936757034
서울특별시 서대문구 거북골로 148,37.575467354,126.913422145
서울특별시 서대문구 세무서8길 30,37.589542848,126.946430422
서울특별시 서대문구 신촌역로 22-5,37.558865843,126.943014739
서울특별시 서대문구 충정로2가 5-19,,
서울특별시 서대문구 연세로 41-2,37.559405054,126.936804196
서울특별시 서대문구 증가로 231,37.581919240,126.913659569
서울특별시 서대문구 창천동 82-1,37.55963259897977,126.93784665554313
서울특별시 서대문구 응암로1길 9-1 더플레이스한양,37.581122926,126.911121149
서울특별시 서대문구 북가좌동 323-3,37.5815535845563,126.91014626501037
서울특별시 서대문구 명지대길 18,37.581224914,126.925055315
서울특별시 서대문구 경기대로9길 24 경기대학교,37.564510621,126.962269978
서울특별시 서대문구 연희동 산2-85,37.58400829275328,126.93915559934258
서울특별시 서대문구 남가좌동 210-1,37.57588679369324,126.92104869356037
서울특별시 서대문구 연희로 57,37.563771390,126.928335099
서울특별시 서대문구 연희동 134-10,37.56749693718196,126.93143611832713
서울특별시 서대문구 현저동 207,37.57246473957328,126.95843197712604
서울특별시 서대문구 이화여대8길 28 신현교회,37.558743871,126.947508189
서울특별시 서대문구 세무서길 33,37.589577387,126.945606352
서울특별시 서대문구 통일로 127 충정로우체국,37.565785221,126.966010919
서울특별시 서대문구 거북골로 222-1 진영주택,37.579880814,126.906954290
서울특별시 서대문구 명지대3길 1,37.582202034,126.923638491
서울특별시 서대문구 홍은동 422-6,37.57821416534114,126.93022388382494
서울특별시 서대문구 통일로 251 독립공원,37.574558179,126.957193977
서울특별시 서대문구 성산로22길 10,37.560246305,126.933574839
서울특별시 서대문구 세검정로1길 104,37.594878024,126.946297219
서울특별시 서대문구 북가좌동 265-2,37.57531246539557,126.90363919539236
서울특별시 서대문구 북가좌동 359-10,37.58009699878872,126.91146923990065
서울특별시 서대문구 북아현동 251-74,37.56273465271698,126.95534965824858
서울특별시 서대문구 독립문로8길 118,37.565593842,126.958774271
서울특별시 서대문구 포방터길 54,37.599035609,126.949247672
서울특별시 서대문구 홍제동 295-3,37.5914847244659,126.94380199332481
서울특별시 서대문구 통일로 442-17,37.588430828,126.944813367
서울특별시 서대문구 신촌로 275 우리은행,37.557716415,126.956692250
서울특별시 서대문구 통일로34길 72-27,37.586249153,126.954388034
서울특별시 서대문구 명지대1길 21,37.581359355,126.923711027
서울특별시 서대문구 신촌로 185-2,37.556972024,126.946508936
서울특별시 서대문구 홍은동 423-1,37.58193270936357,126.92521061740254
서울특별시 서대문구 연희로14길 63-24,37.567439720,126.935251521
서울특별시 서대문구 홍제동 314-11,37.58749448535505,126.94410746986749
서울특별시 서대문구 통일로34길 35 현대종합상가,37.586300815,126.949736202
서울특별시 서대문구 영천시장길 68,37.569564141,126.962495857
서울특별시 서대문구 북아현로1가길 20 이편한세상신촌,37.558101794,126.951478659
서울특별시 서대문구 통일로 452,37.589151631,126.944041643
서울특별시 서대문구 가재울로 45 남가좌동현대아파트,37.575661440,126.920851666
서울특별시 서대문구 옥천동 1-3,37.56971345500904,126.96132621064578
서울특별시 서대문구 신촌로 275,37.557716415,126.956692250
서울특별시 서대문구 이화여대길 29,37.558262724,126.945630459
서울특별시 서대문구 연희로 103,37.567232427,126.930906450
서울특별시 서대문구 포방터2길 7,37.598833026,126.949569883
서울특별시 서대문구 독립문로8길 116,37.565659194,126.958752266
서울특별시 서대문구 신촌로 75-2,37.556066699,126.934746716
서울특별시 서대문구 남가좌동 293-3,37.56923481522708,126.91491500778875
서울특별시 서대문구 창천동 41-6,37.55802451864599,126.93761213453416
서울특별시 서대문구 연희로 38-14,37.561852872,126.928210819
서울특별시 서대문구 가재울로 43,37.574892713,126.921452753
서울특별시 서대문구 대현동 37-33,37.557960003753635,126.94411015484798
