address,latitude,longitude
서울 강동구 고덕로39 (암사3동 441-14),37.55513349,127.12956973
"서울 강동구 구천면로200, 강동지사 4층 (천호동 419-3, 한국마사회)",37.54003642,127.12653161
"서울 강동구 구천면로200, 마사회 강동지사 5층 (천호동 419-3)",37.54003642,127.12653161
"서울 강동구 천호대로지하 997, 124호 (천호동 455, 천호역)",37.53848494,127.12509001
"서울 강동구 올림픽로지하 550, 8호선 지하철 역사 내 (성내동)",37.53066612,127.1205538
"서울 강동구 올림픽로지하 776, 지하철 8호선 암사역 역사 내 (암사동 501)",37.55115868,127.12818997
서울 강동구 둔촌동6-3 9호선 중앙보훈병원역 B1층,37.52913299,127.1486533
"서울 강동구 구천면로155, 1층 (천호동 339-45)",37.54212191,127.12221851
"서울 강동구 풍성로106, 102-1호 (성내동 120-60)",37.53215018,127.1238289
서울 강동구 풍성로65길71 (둔촌동 461),37.5308184,127.1412459
"서울 강동구 천호대로163길21, 1층 (천호동 450-40)",37.53766328,127.13096096
서울 강동구 올림픽로89길11 (천호동 322),37.54736409,127.12559735
서울 강동구 올림픽로680 (천호동 357-11),37.54203378,127.12491275
"서울 강동구 성내로6길20, 108호 (성내1동 556-2, 청일 베르네)",37.52902137,127.12232679
"서울 강동구 상일로5길8, 1층 (상일동 269-7)",37.54913523,127.17256524
"서울 강동구 상암로39길24, 1층 (천호동 35-1)",37.54698599,127.14037013
"서울 강동구 양재대로97길7, 1층 (성내동 397)",37.53099255,127.13670685
"서울 강동구 아리수로93나길80, 103호, 104호 (강일동 70-8)",37.57259639,127.17609817
"서울 강동구 성안로156, 1층 3호 (길동 416-6, 우주빌딩)",37.53684825,127.13531546
"서울 강동구 성내로13길14, 1층 102호 (성내동 543)",37.52864539,127.12752431
"서울 강동구 천호대로1139, 1층 (길동 459-3, 강동그린타워)",37.53462573,127.13820379
"서울 강동구 고덕로80길123, 고덕센트럴아이파크 1상가 108호 (상일동 131)",37.55102314,127.16555022
"서울 강동구 고덕로20마길29, 1층 (암사1동 469-30)",37.55220513,127.13202575
서울 강동구 올림픽로92길6 (천호동 315-6),37.5476461,127.12717841
서울 강동구 양재대로1335 (성내동 429-3),37.52561788,127.13487943
서울 강동구 올림픽로88길36 (천호동 313-4),37.54613131,127.12825984
"서울 강동구 천호대로1057, 105,6호(천호3동 451-20, 오피스텔트레벨)",37.53724675,127.12946086
"서울 강동구 천호대로1078, 104호(성내2동 164-1, CJ나인파크)",37.53581868,127.1313105
"서울 강동구 고덕로140, 상가동1층119-2,120-1 (암사동 413-3, 현대대림아파트)",37.55445824,127.14071439
"서울 강동구 고덕로98길160, 상가동 103호,104호 (상일동 28, 강동리엔파크14단지)",37.55157027,127.18063032
"서울 강동구 아리수로97길19 (강일동 673, 강일리버파크4단지상가동101,102호)",37.56727007,127.17594176
"서울 강동구 아리수로93가길77, 상가동 104,105호 (강일동 215, 강동리버스트6단지)",37.57048745,127.16960088
"서울 강동구 고덕로97길29, 상가 101,102호 (강일동 699, 강일리버파크)",37.55955307,127.17925258
"서울 강동구 아리수로93나길50, 108호 (강일동 76-7, 강일MK프라자)",37.57207294,127.17468886
"서울 강동구 아리수로93길33, 105호 (강일동 675, 베스트프라자)",37.56589257,127.17352321
"서울 강동구 아리수로94길72, 102호 강일리버파크 8단지상가 (강일동, 강일리버파크8단지아파트)",37.5621331,127.17709629
"서울 강동구 아리수로97길68, 상가 101호(강일동 668, 강일리버파크2단지)",37.56971608,127.17653742
"서울 강동구 고덕로385, 상가 127, 128호 (고덕동 212, 고덕그라시움아파트)",37.55739707,127.16476609
서울 강동구 상일로152 (강일동 707),37.56081181,127.17112314
서울 강동구 명일동47-2번지 갑을명가오피스텔,37.55404468,127.15457217
