address,latitude,longitude
"서울 강북구 도봉로20가길40, 1층 코너 (미아동 135-8, 준타워)",37.62034585,127.02952159
서울 강북구 오패산로52길102 (미아동 258-669),37.62723056,127.03181113
"서울 강북구 삼양로173길39, 1층(우이동 165-4)",37.66243567,127.0103065
"서울 강북구 덕릉로40길18, 1층 (번동 526-13)",37.6343188,127.03035958
"서울 강북구 한천로132길84, 외 1필지(466-23) (번동 466-22)",37.64193147,127.03132576
"서울 강북구 오현로35길62, 101호, 102호 (번동 234-2)",37.63197782,127.03827537
"서울 강북구 솔샘로167, 상가동 지하2층 215,216,217,218호 (미아동 1354-5, 벽산라이브파크)",37.61995073,127.01123246
"서울 강북구 오현로10, 1층 (송중동 90-33)",37.61633195,127.03119355
"서울 강북구 삼양로38길38, 1층 (미아동 320-28)",37.62119079,127.02272518
"서울 강북구 삼양로27길43, 상가 지하층 4호, 5호 (미아동 811-9)",37.61854546,127.01882917
"서울 강북구 도봉로18길22, 1층 (미아동 100-43)",37.6178708,127.03095836
"서울 강북구 도봉로61길31, 1층 (미아동 222-10)",37.62841228,127.02323107
"서울 강북구 월계로37길91 (번3동 222, 1층좌측코너상가)",37.62612314,127.04407179
"서울 강북구 한천로131길33, 1층(번1동 415-1)",37.6379124,127.02689108
서울 강북구 덕릉로159(번1동 411-1),37.63548985,127.03142072
서울 강북구 한천로109길13(번동 269-2),37.62823356,127.04320642
"서울 강북구 삼양로19길157, 상가 201호,202호 (삼각산동 1353, 에스케이북한산시티아파트)",37.61734386,127.01519756
"서울 강북구 덕릉로88, 1층 (미아동 160-2)",37.63450656,127.02362716
"서울 강북구 삼양로366, 1층 101호 (수유동 403-17, 세영아파트)",37.63607821,127.01757895
"서울 강북구 삼양로93길23, 1층 (수유동 409, 창성빌딩)",37.63787493,127.01585572
서울 강북구 삼양로80길26 (수유동 58-1),37.6309739,127.0192096
서울 강북구 인수봉로304 (수유동 557-67),37.64576173,127.01079975
"서울 강북구 삼양로77길66, 1층 (수유동 486-251)",37.62872212,127.01497947
