address,latitude,longitude
"서울 강서구 마곡중앙10로10, 지하1층 (마곡동 770, 엘지사이언스파크)",37.56410133,126.82870256
서울 강서구 양천로지하 485 (가양동 14-61),37.56175445,126.85398007
"서울 강서구 개화동로8길38, 내 지하층 (개화동 388-1, 개화역사)",37.58043969,126.79495756
"서울 강서구 방화동로지하 30 (공항동 산20-2, 공항시장역내)",37.56351488,126.81060139
"서울 강서구 하늘길지하 77, 김포공항역 지하 (방화동 886)",37.56673065,126.80249081
"서울 강서구 공항대로지하 529 (등촌동 666-94, 등촌역 내)",37.55112705,126.86473566
"서울 강서구 마곡중앙5로지하 2 (마곡동 760-3, 마곡나루역내)",37.56679254,126.82750583
서울 강서구 방화대로지하 301 (방화동 217-156),37.56745253,126.81599481
서울 강서구 양천로지하 341 (가양동 159-3),37.5686537,126.8407887
서울 강서구 공항대로지하 631 (염창동 284-84),37.54706406,126.87516324
"서울 강서구 양천로지하 560 (등촌동 666-40, 증미역내)",37.55753886,126.86155986
"서울 강서구 하늘길지하 77, 내 (방화동 886, 김포공항역사)",37.56680295,126.80251229
"서울 강서구 마곡중앙로지하 135, 공항철도 마곡나루역 지하 1층 (마곡동 373-14)",37.56579379,126.827646
"서울 강서구 허준로47, 상가(가양1동 1461, 가양도시개발공사아파트)",37.57058952,126.84708662
서울 강서구 허준로209 (가양동 1486),37.56199974,126.86163913
서울 강서구 허준로176 (가양동 1482),37.56214596,126.85718861
"서울 강서구 화곡로72길62, 107호 (가양동 448-11, 가양글로벌퍼스트)",37.56039531,126.85877731
"서울 강서구 양천로400-12, 1층 105호 (가양동 54-6, 더리브골드타워)",37.56533392,126.84589987
"서울 강서구 양천로418, 1층 일부 (등촌동 10-14)",37.5646766,126.84778899
"서울 강서구 양천로516, 103호 (등촌동 720)",37.5598289,126.85704291
"서울 강서구 양천로57길10-20, 상가 104호(가양2동 1480-5, 이스타빌)",37.56260975,126.85298223
"서울 강서구 양천로461, 101호 (가양동 1480-8, 주영빌딩)",37.56302602,126.85224011
"서울 강서구 화곡로68길15, , 22번지 103호 (등촌동 628-7, 아벨테크노지식산업센터)",37.55946912,126.85524878
"서울 강서구 양천로49길54, 101호 (가양동 194-2, 양천향교지웰에스테이트)",37.57107788,126.84083037
"서울 강서구 화곡로68길82, 106호(등촌1동 638-3, 강서IT밸리)",37.55752574,126.8583344
"서울 강서구 마곡중앙10로70, B1F (마곡동 789)",37.56353744,126.83545751
"서울 강서구 가로공원로192, 1층 (화곡동 371-66)",37.53691158,126.83725215
"서울 강서구 송정로37, 1층(공항동 60-31)",37.55816443,126.81076567
"서울 강서구 강서로16길22, 1층 일부 (화곡동 341-31)",37.53284056,126.84753222
서울 강서구 강서로155(화곡1동 1075-39),37.54054109,126.84074886
"서울 강서구 화곡로68길148, GS25 강서등마루점 (등촌동 636-60)",37.55597965,126.86151568
서울 강서구 강서로392-11 (등촌동 678-13),37.56076821,126.83972244
"서울 강서구 양천로14길10, 1층 (방화동 559-1)",37.57269067,126.81003661
"서울 강서구 공항대로103, 910동 상가 101호 (마곡동)",37.5611919,126.81704466
"서울 강서구 양천로556, 101호 (등촌1동 630-12, 강서메디칼센터)",37.5577737,126.86068479
"서울 강서구 공항대로45가길11, 1층 101호 (등촌1동 656-52, 강서메트로칸)",37.55601396,126.85388691
"서울 강서구 강서로56나길110, 1층 상가동 (등촌동 691-3, 부영아파트)",37.56286871,126.8425875
서울 강서구 등촌로13아길30-1 (화곡동 473-7),37.53711257,126.85691451
"서울 강서구 화곡로58길8, 1층(화곡6동 1117)",37.55287024,126.85119625
"서울 강서구 공항대로34, 1층 (공항동 42-22, 청보빌딩)",37.56099537,126.81093573
"서울 강서구 남부순환로11길28, 1층 (공항동 1340, 엘지(GS)25)",37.55467619,126.81512181
"서울 강서구 마곡중앙로165, 102호 (마곡동 757-5, 안강프라이빗타워)",37.56856931,126.82768174
"서울 강서구 강서로45다길21, 1층 (화곡동 1012)",37.54690914,126.83502595
서울 강서구 곰달래로53길96 (화곡동 820-11),37.53549225,126.85707502
"서울 강서구 강서로7길45, 1층(화곡1동 901-24)",37.52928616,126.84524495
"서울 강서구 양천로401, A동 103호 (가양동 1498, 강서한강자이타워)",37.56563249,126.84694796
"서울 강서구 화곡로346, 109호(화곡6동 1111-2, 귀뚜라미홈시스텔)",37.55449055,126.85196361
"서울 강서구 양천로57길9-19, 101호 (가양동 1479-8, 동양트레벨스카이오피스텔)",37.5637065,126.85087139
"서울 강서구 마곡중앙2로35, 상가 105호, 106호 (마곡동 800-15)",37.55785798,126.83059989
"서울 강서구 양천로10길38, 신마곡벽산블루밍APT 105동 상가 107호 (방화동 537-5)",37.57096447,126.80773214
"서울 강서구 양천로30길32, 1층 남쪽에서 첫번째 점포 (마곡동 326-19)",37.57184335,126.82258159
"서울 강서구 공항대로42길13, B02호, B03호 (내발산동 764, 우장산한울에이치밸리움)",37.55725932,126.84391926
서울 강서구 방화대로44길32 (방화동 272-41),37.57192117,126.81774662
서울 강서구 강서로48길20 (내발산동 703-7),37.55248419,126.83753084
서울 강서구 화곡로18길31 (화곡동 1086-3),37.53893646,126.83608918
서울 강서구 까치산로193(화곡6동 1114),37.55443014,126.85409225
"서울 강서구 강서로5나길90, 1층(화곡1동 913-11)",37.52852705,126.84317493
"서울 강서구 화곡로56길33, 1층 일부 (화곡동 1118-18)",37.55136124,126.85168341
"서울 강서구 강서로242, 상가동 1층 103호 (화곡동 1165-1, 강서힐스테이트)",37.54737665,126.83675011
"서울 강서구 개화동로9길7, 1층 일부 (개화동 450-27)",37.57901656,126.80031283
"서울 강서구 양천로25 (방화1동 495-18, 서림미술학원)",37.57280007,126.80659348
"서울 강서구 양천로50, 101동 101호 (방화동 557-7, 남성아트빌)",37.57284495,126.80925305
"서울 강서구 개화동로23길35, 1층 여주슈퍼 (방화동 646-101)",37.56664776,126.8076538
"서울 강서구 곰달래로31길16, 1층 (화곡동 872-24)",37.53160876,126.85149982
"서울 강서구 공항대로382, 상가 107호(화곡동 1145, 우장산롯데캐슬)",37.55563248,126.84801881
"서울 강서구 공항대로2길18, 1층 (공항동 72-9)",37.56062862,126.80851939
"서울 강서구 방화대로6라길26, 1층 (공항동 1349)",37.55615163,126.8184938
"서울 강서구 송정로4길46, 1층 (공항동 654)",37.55834513,126.8135018
서울 강서구 방화대로21나길34 (공항동 18-9),37.56382094,126.81236229
서울 강서구 방화대로7길28(공항동 669-5),37.55628401,126.814621
"서울 강서구 하늘길233, 1층 (공항동 1373-5, 골프포트)",37.55282752,126.81227647
"서울 강서구 허준로95-9, 1층 (가양동 1472)",37.56739152,126.85177694
"서울 강서구 하늘길84, 109호 (오곡동 1, 경항공기격납고)",37.55289197,126.79374896
"서울 강서구 수명로68-11, 102호,103호,104호,105호 (내발산동 750-7)",37.5523032,126.82652193
"서울 강서구 강서로45나길59, 도화엘리시아 102 지1층 (내발산동 718-20)",37.55072495,126.83547583
"서울 강서구 마곡중앙1로26, 103호 (마곡동 798-12, 엠리체)",37.55846698,126.82387867
"서울 강서구 마곡중앙로33, 판매시설동 108호 (마곡동 750, 마곡엠밸리14단지)",37.55776102,126.82627788
"서울 강서구 금낭화로23길8, 상가동 104,105,108,109호 (방화동 817)",37.57899272,126.81310628
서울 강서구 강서로56가길41(등촌3동 678-2),37.56143777,126.84000634
"서울 강서구 공항대로59길80-6, 1층 상가 101호,102호 (등촌동 634)",37.55501718,126.8635562
"서울 강서구 화곡로63길125, 1층(등촌3동 663-7, 윤준빌딩)",37.55874959,126.84612594
"서울 강서구 공항대로59다길39, 101동 1층 3호,4호 (등촌동 633-24)",37.55309125,126.86566785
"서울 강서구 등촌로39길6, 6호(등촌2동 512-7)",37.54558759,126.8621264
"서울 강서구 공항대로39길74, 상가동 103호 (등촌동 695, 등촌5단지주공아파트)",37.56045879,126.84492245
"서울 강서구 화곡로61길100, 101호(등촌3동 662-6)",37.55845202,126.84702467
"서울 강서구 공항대로543, 상가 지하1층 B01호 (염창동 312)",37.55075531,126.86637096
"서울 강서구 공항대로53가길40, 1층 (등촌동 643-54)",37.55509659,126.858711
서울 강서구 공항대로58길32(등촌2동 532-1),37.55039257,126.86238155
"서울 강서구 화곡로64길2, 101동 103호 (등촌동 656, 경동미르웰한울림)",37.55725413,126.85355101
"서울 강서구 마곡중앙1로72, 상가동 104호 (마곡동 747, 마곡엠밸리10단지)",37.55952111,126.81935738
"서울 강서구 마곡서로133, 713동 101호 (마곡동 743-4, 마곡엠밸리7단지)",37.56614977,126.82448232
"서울 강서구 공항대로103, 마곡엠벨리9단지 판매시설2동 102호,103호 일부 (마곡동 744)",37.56147732,126.82035651
"서울 강서구 마곡중앙10로30, 지하1층 (마곡동 770-1, 엘지사이언스파크)",37.5633429,126.83127252
서울 강서구 마곡동739-3번지 마곡SB타운 1층 110호,37.5670837,126.81875129
"서울 강서구 공항대로205, 104호 (마곡동 774, 에스에이치빌딩)",37.55975718,126.83040043
