address,latitude,longitude
"서울 동작구 노량진로지하 238, 노들역 역사 내 (본동 475-1)",37.51278166,126.95382842
서울 동작구 노량진로지하 130 (노량진동 60-11),37.51350473,126.94093448
서울 동작구 현충로지하 220 (동작동 326),37.50308377,126.97823498
"서울 동작구 현충로지하 90, 9호선 흑석역 역사내 (흑석동 4)",37.50851093,126.96407906
"서울 동작구 사당로14가길19, 사당동, 7호선 남성역 내 (사당동 250-1)",37.4841919,126.9713349
"서울 동작구 상도로지하 272, 상도역내 지하 1층 (상도1동 702-1)",37.50349659,126.94726246
"서울 동작구 상도로지하 378, 7호선 숭실대입구역 내 상가 1001 (상도동)",37.4958073,126.9539861
"서울 동작구 상도로지하 76, 7호선 신대방삼거리역 내 상가 1001 (대방동 406-10)",37.49941784,126.9275622
"서울 동작구 사당로지하 310, 7호선內(사당2동 144-4)",37.48519873,126.98146374
"서울 동작구 상도로지하 188, 장승배기 역사 내 (상도동 26-20)",37.50495594,126.93916645
"서울 동작구 노량진로23가길23, 105호 (본동 494, 래미안트윈파크)",37.51329627,126.95190959
"서울 동작구 노량진로252, 1층 (본동 48, 이치과의원)",37.51228375,126.95458192
"서울 동작구 노량진로140, 1층 103호 (노량진동 57-1, 메가스터디타워)",37.51289858,126.94166698
"서울 동작구 만양로73, 1층 (노량진1동 224-17)",37.50999948,126.94494287
"서울 동작구 장승배기로171, 1층(노량진1동 45-3, 아이비빌딩)",37.51318928,126.93992091
"서울 동작구 노량진로14가길11, (82번지나루아카데미빌딩지하1층) (노량진1동 81, 나루아카데미)",37.51292936,126.94309179
"서울 동작구 노량진로148-3, 1층(노량진1동 72-3)",37.51340948,126.94237239
"서울 동작구 노량진로8길40, 1층 (노량진동 258-42)",37.51240983,126.9374095
"서울 동작구 노들로674, 지상2층 편의점호 (노량진동 13-6)",37.51464394,126.9373552
서울 동작구 노량진로200 (노량진동 141),37.51288218,126.94789982
서울 동작구 장승배기로174 (노량진동 54-4),37.51305901,126.9404657
"서울 동작구 등용로101, 1층 (대방동 20-25, 한스빌)",37.51025095,126.93181852
"서울 동작구 남부순환로269길97, 1층 (사당동 439-4)",37.47943303,126.97429459
서울 동작구 성대로8길2 (상도동 259-16),37.49814321,126.93407191
"서울 동작구 양녕로25길30, 1층 (상도동 210-172, 상도젠트리하임)",37.49782029,126.94225303
"서울 동작구 여의대방로54길14, 1층 (대방동 344-1, 경준빌딩)",37.51187164,126.92671666
"서울 동작구 상도로17-8 (대방동 397-26, 새문빌딩 101,102호)",37.50024698,126.9226307
서울 동작구 대방동23길18(대방동 376-28),37.50415559,126.92439546
"서울 동작구 등용로49, A동 B01호 (대방동 5-2)",37.50593671,126.93301103
"서울 동작구 대방동길97, 지하1층 (대방동 383-29)",37.5060013,126.92324925
서울 동작구 여의대방로36길4 (대방동 389-3),37.50391263,126.92245361
서울 동작구 여의대방로24라길32 (대방동 402-7),37.49938199,126.92263182
"서울 동작구 등용로127, 종합상가 가동 102호 (대방동 502, 현대)",37.51267446,126.93078858
"서울 동작구 장승배기로96, 1층 102호 (노량진2동 310-99)",37.50610673,126.93988534
"서울 동작구 상도로34길18, 1층 (상도2동 29-37)",37.50409309,126.94544446
"서울 동작구 동작대로9길39, 1층(사당1동 1026-38)",37.48058496,126.97933289
서울 동작구 상도로130(상도동 355-6),37.5017584,126.93429195
"서울 동작구 신대방1가길38, 106동 116호 118(신대방1동 719, 상떼빌)",37.487786,126.90601786
"서울 동작구 사당로215, 1층 111호(사당3동 252-17, 서림테마상가)",37.48462429,126.97235793
"서울 동작구 성대로12길1, 1층 (상도4동 263-8, 상도동다빈모1프라자)",37.49752388,126.93533603
서울 동작구 양녕로28길28 (상도동 212-36),37.49820665,126.94515405
"서울 동작구 여의대방로30, 현대상가 112동 1층 A동 101호 (신대방동 707)",37.49464849,126.91149293
"서울 동작구 시흥대로602, 1층 (신대방1동 686-53)",37.48604166,126.90447158
"서울 동작구 상도로346-1, 상도엠코타운 상가3동 103,104호 (상도동 531)",37.4952761,126.95098537
서울 동작구 여의대방로22길78 (신대방동 361-55),37.49768506,126.92428471
