address,latitude,longitude
"서울 은평구 은평터널로27, 상가 105호, 106호 (수색동 189)",37.58474731,126.89830523
"서울 은평구 연서로지하 137-1, 6호선 구산역 지하1층 1001호 (구산동)",37.61120489,126.91715841
"서울 은평구 수색로지하 175, 6호선 디지털미디어시티역 지하1층 (증산동 223-25)",37.5774396,126.90213758
"서울 은평구 서오릉로지하 63, 지하1층 1001호 (녹번동 153-31, 6호선 역촌역사무소)",37.6053696,126.92343801
"서울 은평구 통일로지하 849, 6호선 연신내역 지하1층 1001호 (갈현동)",37.6189243,126.92082983
"서울 은평구 증산로지하 477, 지하2층 2001호(6호선 응암역) (역촌동 85-41)",37.59927644,126.91532688
"서울 은평구 증산로지하 306, 6호선 증산역 지하1층 1001호 (증산동 199-8)",37.58372274,126.9092575
"서울 은평구 갈현로33길14-1, 1층 (갈현동 445-15)",37.62094113,126.9147743
"서울 은평구 서오릉로232, 2층 (갈현2동 327-13)",37.61557032,126.90883775
"서울 은평구 연서로17길46-1, 1층 우측상가 (갈현동 497-13)",37.61414524,126.91258507
"서울 은평구 통일로85길5, 1층 (갈현동 394-10)",37.62204382,126.91907422
"서울 은평구 갈현로265, 1층(갈현1동 433-3)",37.62063841,126.91614936
"서울 은평구 통일로89길5, 1층 (갈현1동 413-1)",37.62450309,126.91901595
"서울 은평구 갈현로121, 1층 (구산동 26-7)",37.60873104,126.9107385
"서울 은평구 갈현로25길14, 1층 101호 (갈현동 515-18)",37.61751512,126.91356678
"서울 은평구 갈현로303 (갈현1동 422-35, 제일은행갈현시장)",37.62387032,126.91682744
서울 은평구 갈현로45길26 (갈현동 12-22),37.6275516,126.91640017
"서울 은평구 연서로19길8, 1층 (갈현동 463-4)",37.61368849,126.91680525
"서울 은평구 갈현로15길24, 1층 (구산동 176)",37.60796917,126.90824661
"서울 은평구 서오릉로11길14, 1층 (구산동 6-17)",37.61123512,126.91456425
서울 은평구 서오릉로178(갈현2동 489-23),37.61314801,126.9138795
"서울 은평구 연서로11길20-5, 1층 (구산동 18-20)",37.60887113,126.91322817
"서울 은평구 진관2로15-46, 103호 (진관동 70, 메트로프라자)",37.63864093,126.9190944
"서울 은평구 은평로21길36, 1층 (녹번동 89)",37.60280256,126.93047387
"서울 은평구 통일로590, 상가 B동 108,109호 (녹번동 276)",37.59963396,126.93679304
서울 은평구 통일로639(녹번동 35-96),37.60384006,126.93460404
서울 은평구 통일로685(녹번동 117-61),37.60732518,126.93240244
"서울 은평구 녹번로9길19, 1층 (녹번동 120-17)",37.60761445,126.92952156
"서울 은평구 녹번로40, 상가 1층 (녹번동 100-55, 현대아파트)",37.60491712,126.92916383
서울 은평구 은평로215 (녹번동 218),37.60139869,126.93166043
"서울 은평구 통일로660, 상가 211호 부터 215호 (녹번동 281)",37.60560819,126.93583595
"서울 은평구 서오릉로46, 상가 (녹번동 278-1, 녹번2차현대아파트)",37.60484828,126.92456673
"서울 은평구 은평로240, 힐스테이트녹번역아파트 상가 B329호 (응암동 1-12)",37.60069607,126.93467153
"서울 은평구 서오릉로17길18, 1층 (구산동 363-17)",37.61354589,126.90817641
"서울 은평구 진관3로67, 905(상가)동 1층 102호 (진관동)",37.64063008,126.9198474
"서울 은평구 통일로80길1-1, 1층 (불광동 486-17, 베로니스)",37.62015979,126.92094791
"서울 은평구 진관2로90, 320동 B106호 (진관동 107, 은평뉴타운 마고정 상가)",37.63396064,126.92754622
서울 은평구 갈현로1길6 (신사동 16-20),37.59940393,126.90960616
서울 은평구 통일로69길37 (대조동 31-11),37.60977428,126.92526597
"서울 은평구 연서로20길28, 1층(대조동 214-1)",37.61427643,126.92098762
"서울 은평구 연서로18길10-1, 1층 101호 (대조동 225-5, 대조동창희빌라)",37.61204754,126.9186526
"서울 은평구 통일로65길13-18, 1층 (대조동 15-119)",37.60872459,126.92873549
"서울 은평구 서오릉로8길7, 1층 (대조동 64-7)",37.60828919,126.92247853
"서울 은평구 역말로9길7, 101호 (대조동 171-1)",37.61184925,126.92160034
"서울 은평구 불광로131, 1층(불광1동 13-31)",37.61854649,126.93278572
"서울 은평구 가좌로7가길25-55, 1층(응암3동 247-102)",37.58400046,126.92183238
"서울 은평구 백련산로2길19, 상가동 105호,106호 (응암동 759, 백련산힐스테이트1차)",37.59237443,126.92516523
"서울 은평구 북한산로248, 1층 (진관동 323-7)",37.65238252,126.93804727
"서울 은평구 진흥로267, 지층 1,2호 GS25불광래미안점 (불광동 638)",37.61153575,126.93769962
"서울 은평구 진흥로199, 1층 (불광동 285-30)",37.60918249,126.93153777
서울 은평구 불광로81(불광1동 243-11),37.61430563,126.93212142
"서울 은평구 통일로92길4, 1층(불광2동 494-4)",37.62588689,126.92057057
"서울 은평구 통일로750 (불광1동 267-1, 경일빌딩)",37.61244506,126.92864814
"서울 은평구 불광천길486, 1층 (응암동 122-32)",37.59565841,126.91577574
"서울 은평구 연서로289, 1층 (불광동 422-4)",37.62163946,126.92610336
"서울 은평구 통일로92길38, 1층 (불광동 445-338)",37.62598058,126.92392247
"서울 은평구 불광로2길10, 1층 (불광동 600-3)",37.61183355,126.93275707
