address,latitude,longitude
"서울 종로구 송월길155, 상가동 1층 4123호 (교북동 12-1, 경희궁자이)",37.57123811,126.96162599
"서울 종로구 계동길61, 1층 (계동 86)",37.5800325,126.98653598
"서울 종로구 종로33, 102호 (청진동 70, 그랑서울)",37.57132372,126.98179759
서울 종로구 동숭길140(혜화동 201),37.58366487,127.00254161
서울 종로구 명륜길2(명륜1가 15),37.58789405,126.996552
서울 종로구 옥인길3 (누하동 77-5),37.58042398,126.96828011
"서울 종로구 삼봉로71, 1층 (수송동 156, G타워)",37.57266025,126.98110016
서울 종로구 난계로29길67(숭인2동 217-20),37.5734187,127.01959135
"서울 종로구 종로66길25, 1층(숭인2동 1417, 삼신빌딩)",37.57373592,127.02198718
"서울 종로구 숭인동길16, 1층 (숭인동 1062)",37.57569857,127.0217917
"서울 종로구 삼봉로94, 1층 101호 (공평동 139)",37.57181471,126.98231164
"서울 종로구 종로47 (공평동 100, 한국스탠다드차타드은행본점)",37.57102247,126.98239034
"서울 종로구 종로69, 107호 (종로2가 9, 서울YMCA)",37.57062398,126.98529374
"서울 종로구 삼일대로17길8, 1층 (관철동 7-5)",37.56928871,126.98719097
서울 종로구 율곡로2길7(수송동 85),37.57511167,126.98116865
서울 종로구 이화장길78(동숭동 192-18),37.57868176,127.00463463
"서울 종로구 자하문로19-1, 1층(체부동 37-1)",37.57779607,126.9717354
"서울 종로구 삼일대로30길23 (익선동 34, 종로비즈웰101-B호)",37.57440179,126.98872928
"서울 종로구 김상옥로56, 1층 (효제동 133-2)",37.57334142,127.00390194
"서울 종로구 지봉로92, 1층 (숭인1동 53-21)",37.57823262,127.0155431
"서울 종로구 종로3길38, 1층 (청진동 201-1, 진학회관빌딩)",37.57206086,126.97951215
"서울 종로구 종로5길7, 1층 101호 (청진동 149, Tower8 B/D)",37.57070033,126.98056085
"서울 종로구 창경궁로112-11 (인의동 28-36, 재림빌딩)",37.57257441,126.99844435
